"","mp.description","MGI.ID","MP.ID","MP.Term","TS28.mutant.expression.detected","mp.top.term.x","hp.top.term","HPO.superclass.description","mp.top.term.y"
"30","cardiovascular system phenotype","MGI:87909","MP:0000272","abnormal aorta morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"31","cardiovascular system phenotype","MGI:94885","MP:0005598","decreased ventricle muscle contractility","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"32","cardiovascular system phenotype","MGI:95523","MP:0003231","abnormal placenta vasculature","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"33","cardiovascular system phenotype","MGI:1916782","MP:0001625","cardiac hypertrophy","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"34","cardiovascular system phenotype","MGI:1333870","MP:0010403","atrial septal defect","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"35","cardiovascular system phenotype","MGI:87905","MP:0002190","disorganized myocardium","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"36","cardiovascular system phenotype","MGI:103580","MP:0003808","increased atrioventricular cushion size","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"37","cardiovascular system phenotype","MGI:1341884","MP:0000277","abnormal heart shape","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"38","cardiovascular system phenotype","MGI:1347481","MP:0006354","abnormal fourth pharyngeal arch artery morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"39","cardiovascular system phenotype","MGI:95283","MP:0002672","abnormal pharyngeal arch artery morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"40","cardiovascular system phenotype","MGI:1341884","MP:0002833","increased heart weight","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"41","cardiovascular system phenotype","MGI:1306784","MP:0006065","abnormal heart position or orientation","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"42","cardiovascular system phenotype","MGI:96435","MP:0009698","heart hemorrhage","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"43","cardiovascular system phenotype","MGI:1341884","MP:0000274","enlarged heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"44","cardiovascular system phenotype","MGI:1341884","MP:0003141","cardiac fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"45","cardiovascular system phenotype","MGI:1916782","MP:0003141","cardiac fibrosis","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"46","cardiovascular system phenotype","MGI:1338820","MP:0000279","ventricular hypoplasia","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"47","cardiovascular system phenotype","MGI:105057","MP:0003071","decreased vascular permeability","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"48","cardiovascular system phenotype","MGI:96247","MP:0003231","abnormal placenta vasculature","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"49","cardiovascular system phenotype","MGI:95294","MP:0001625","cardiac hypertrophy","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"50","cardiovascular system phenotype","MGI:95664","MP:0002189","abnormal myocardial trabeculae morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"51","cardiovascular system phenotype","MGI:88355","MP:0000274","enlarged heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"52","cardiovascular system phenotype","MGI:105097","MP:0003974","abnormal endocardium morphology","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"53","cardiovascular system phenotype","MGI:95566","MP:0000297","abnormal atrioventricular cushion morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"54","cardiovascular system phenotype","MGI:1306784","MP:0003105","abnormal heart atrium morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"55","cardiovascular system phenotype","MGI:88071","MP:0003231","abnormal placenta vasculature","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"56","cardiovascular system phenotype","MGI:94885","MP:0002190","disorganized myocardium","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"57","cardiovascular system phenotype","MGI:1298387","MP:0004486","decreased response of heart to induced stress","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"58","cardiovascular system phenotype","MGI:1354949","MP:0000274","enlarged heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"59","cardiovascular system phenotype","MGI:94885","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"60","cardiovascular system phenotype","MGI:104757","MP:0004784","abnormal anterior cardinal vein morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"61","cardiovascular system phenotype","MGI:94885","MP:0002833","increased heart weight","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"62","cardiovascular system phenotype","MGI:103577","MP:0005244","hemopericardium","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"63","cardiovascular system phenotype","MGI:1338946","MP:0004938","dilated vasculature","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"64","cardiovascular system phenotype","MGI:109169","MP:0002833","increased heart weight","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"65","cardiovascular system phenotype","MGI:105057","MP:0003070","increased vascular permeability","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"66","cardiovascular system phenotype","MGI:1859388","MP:0009660","abnormal induced retinal neovascularization","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"67","cardiovascular system phenotype","MGI:102720","MP:0004486","decreased response of heart to induced stress","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"68","cardiovascular system phenotype","MGI:1922552","MP:0005608","cardiac interstitial fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"69","cardiovascular system phenotype","MGI:2150920","MP:0002652","thin myocardium","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"70","cardiovascular system phenotype","MGI:94885","MP:0001625","cardiac hypertrophy","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"71","cardiovascular system phenotype","MGI:94885","MP:0000274","enlarged heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"72","cardiovascular system phenotype","MGI:1916782","MP:0000274","enlarged heart","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"73","cardiovascular system phenotype","MGI:1306784","MP:0000644","dextrocardia","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"74","cardiovascular system phenotype","MGI:87964","MP:0003141","cardiac fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"75","cardiovascular system phenotype","MGI:95664","MP:0002652","thin myocardium","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"76","cardiovascular system phenotype","MGI:105057","MP:0003231","abnormal placenta vasculature","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"77","cardiovascular system phenotype","MGI:1341884","MP:0005329","abnormal myocardium layer morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"78","cardiovascular system phenotype","MGI:95489","MP:0003141","cardiac fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"79","cardiovascular system phenotype","MGI:96435","MP:0004937","dilated heart","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"80","cardiovascular system phenotype","MGI:95566","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"81","cardiovascular system phenotype","MGI:96247","MP:0004086","absent heartbeat","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"82","cardiovascular system phenotype","MGI:96435","MP:0002833","increased heart weight","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"83","cardiovascular system phenotype","MGI:95489","MP:0000274","enlarged heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"84","cardiovascular system phenotype","MGI:104860","MP:0002188","small heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"85","cardiovascular system phenotype","MGI:94885","MP:0005608","cardiac interstitial fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"86","cardiovascular system phenotype","MGI:96240","MP:0002833","increased heart weight","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"87","cardiovascular system phenotype","MGI:1922552","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"88","cardiovascular system phenotype","MGI:96603","MP:0003057","abnormal epicardium morphology","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"89","cardiovascular system phenotype","MGI:96086","MP:0003808","increased atrioventricular cushion size","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"90","cardiovascular system phenotype","MGI:105923","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"91","cardiovascular system phenotype","MGI:1341884","MP:0005608","cardiac interstitial fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"92","cardiovascular system phenotype","MGI:105057","MP:0001619","abnormal vascular permeability","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"93","cardiovascular system phenotype","MGI:95713","MP:0005294","abnormal heart ventricle morphology","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"94","cardiovascular system phenotype","MGI:87964","MP:0002834","decreased heart weight","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"95","cardiovascular system phenotype","MGI:2676556","MP:0002652","thin myocardium","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"96","cardiovascular system phenotype","MGI:94885","MP:0002652","thin myocardium","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"97","cardiovascular system phenotype","MGI:5578769","MP:0003872","absent heart right ventricle","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"98","cardiovascular system phenotype","MGI:95489","MP:0001625","cardiac hypertrophy","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"99","cardiovascular system phenotype","MGI:96435","MP:0000275","heart hyperplasia","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"100","cardiovascular system phenotype","MGI:96086","MP:0000297","abnormal atrioventricular cushion morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"101","cardiovascular system phenotype","MGI:95392","MP:0003974","abnormal endocardium morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"102","cardiovascular system phenotype","MGI:95489","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"103","cardiovascular system phenotype","MGI:1347466","MP:0006354","abnormal fourth pharyngeal arch artery morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"104","cardiovascular system phenotype","MGI:87964","MP:0005608","cardiac interstitial fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"105","cardiovascular system phenotype","MGI:96435","MP:0000274","enlarged heart","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"106","cardiovascular system phenotype","MGI:1922552","MP:0000274","enlarged heart","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"107","cardiovascular system phenotype","MGI:1330824","MP:0005294","abnormal heart ventricle morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"108","cardiovascular system phenotype","MGI:105097","MP:0005329","abnormal myocardium layer morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"109","cellular phenotype","MGI:104659","MP:0004132","absent embryonic cilia","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"110","cellular phenotype","MGI:3037816","MP:0030005","increased retinal apoptosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"111","cellular phenotype","MGI:1100864","MP:0008933","abnormal motile primary cilium physiology","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"112","cellular phenotype","MGI:2443893","MP:0004131","abnormal motile primary cilium morphology","No","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"113","cellular phenotype","MGI:1347474","MP:0011057","absent brain ependyma motile cilia","No","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"114","cellular phenotype","MGI:1353562","MP:0030005","increased retinal apoptosis","No","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"115","cellular phenotype","MGI:1100864","MP:0004131","abnormal motile primary cilium morphology","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"116","cellular phenotype","MGI:103556","MP:0001654","hepatic necrosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"117","cellular phenotype","MGI:96436","MP:0001654","hepatic necrosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"118","cellular phenotype","MGI:96436","MP:0001656","focal hepatic necrosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"119","cellular phenotype","MGI:88515","MP:0008796","increased lens fiber apoptosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"120","cellular phenotype","MGI:87971","MP:0006072","abnormal retinal apoptosis","No","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"121","cellular phenotype","MGI:88515","MP:0008794","increased lens epithelium apoptosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"122","cellular phenotype","MGI:88276","MP:0011195","increased hair follicle apoptosis","Yes","MP:0005384","HP:0025354","Abnormal cellular phenotype","MP:0005384"
"123","craniofacial phenotype","MGI:88467","MP:0030279","thin neurocranium","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"124","craniofacial phenotype","MGI:99604","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"125","craniofacial phenotype","MGI:109172","MP:0030543","abnormal predentin morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"126","craniofacial phenotype","MGI:96533","MP:0000088","short mandible","No","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"127","craniofacial phenotype","MGI:88005","MP:0030090","short upper incisors","No","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"128","craniofacial phenotype","MGI:1347466","MP:0006354","abnormal fourth pharyngeal arch artery morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"129","craniofacial phenotype","MGI:103580","MP:0002672","abnormal pharyngeal arch artery morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"130","craniofacial phenotype","MGI:88276","MP:0000346","broad head","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"131","craniofacial phenotype","MGI:101926","MP:0020350","fused pharyngeal arches","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"132","craniofacial phenotype","MGI:101926","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"133","craniofacial phenotype","MGI:88467","MP:0000074","abnormal neurocranium morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"134","craniofacial phenotype","MGI:1347481","MP:0006354","abnormal fourth pharyngeal arch artery morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"135","craniofacial phenotype","MGI:1099809","MP:0000762","abnormal tongue morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"136","craniofacial phenotype","MGI:96175","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"137","craniofacial phenotype","MGI:96175","MP:0006340","abnormal fourth pharyngeal arch morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"138","craniofacial phenotype","MGI:104853","MP:0006292","abnormal nasal placode morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"139","craniofacial phenotype","MGI:1099809","MP:0013264","tongue ankylosis","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"140","craniofacial phenotype","MGI:1347464","MP:0008789","abnormal olfactory epithelium morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"141","craniofacial phenotype","MGI:95283","MP:0002672","abnormal pharyngeal arch artery morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"142","craniofacial phenotype","MGI:88467","MP:0030278","thick neurocranium","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"143","craniofacial phenotype","MGI:101791","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"144","craniofacial phenotype","MGI:95523","MP:0000074","abnormal neurocranium morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"145","craniofacial phenotype","MGI:99560","MP:0000763","abnormal filiform papillae morphology","No","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"146","craniofacial phenotype","MGI:95728","MP:0004592","small mandible","No","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"147","craniofacial phenotype","MGI:109172","MP:0002818","abnormal dentin morphology","Yes","MP:0005382","HP:0000152","Abnormality of head or neck","MP:0005382"
"148","digestive/alimentary phenotype","MGI:1347476","MP:0000474","abnormal foregut morphology","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"149","digestive/alimentary phenotype","MGI:1347470","MP:0009706","absent midgut","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"150","digestive/alimentary phenotype","MGI:1347470","MP:0008786","abnormal hindgut morphology","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"151","digestive/alimentary phenotype","MGI:96537","MP:0000495","abnormal colon morphology","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"152","digestive/alimentary phenotype","MGI:891976","MP:0000473","abnormal stomach glandular epithelium morphology","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"153","digestive/alimentary phenotype","MGI:99560","MP:0000763","abnormal filiform papillae morphology","No","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"154","digestive/alimentary phenotype","MGI:96537","MP:0002816","colitis","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"155","digestive/alimentary phenotype","MGI:88114","MP:0005211","increased stomach mucosa thickness","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"156","digestive/alimentary phenotype","MGI:101791","MP:0009146","abnormal pancreatic acinar cell morphology","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"157","digestive/alimentary phenotype","MGI:1099809","MP:0000762","abnormal tongue morphology","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"158","digestive/alimentary phenotype","MGI:1099809","MP:0013264","tongue ankylosis","Yes","MP:0005381","HP:0025031","Abnormality of the digestive system","MP:0005381"
"159","embryo phenotype","MGI:104564","MP:0001711","abnormal placenta morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"160","embryo phenotype","MGI:99604","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"161","embryo phenotype","MGI:1927237","MP:0001697","abnormal embryo size","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"162","embryo phenotype","MGI:1201683","MP:0012102","absent trophectoderm","No","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"163","embryo phenotype","MGI:1347476","MP:0000926","absent floor plate","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"164","embryo phenotype","MGI:103577","MP:0002836","abnormal chorion morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"165","embryo phenotype","MGI:105057","MP:0003231","abnormal placenta vasculature","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"166","embryo phenotype","MGI:96175","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"167","embryo phenotype","MGI:104853","MP:0002151","abnormal neural tube morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"168","embryo phenotype","MGI:88180","MP:0010117","abnormal lateral plate mesoderm morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"169","embryo phenotype","MGI:101757","MP:0000930","wavy neural tube","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"170","embryo phenotype","MGI:1100864","MP:0008933","abnormal motile primary cilium physiology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"171","embryo phenotype","MGI:104564","MP:0004920","increased placenta weight","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"172","embryo phenotype","MGI:101791","MP:0002884","abnormal pharyngeal arch morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"173","embryo phenotype","MGI:104564","MP:0004255","abnormal spongiotrophoblast layer morphology","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
"174","embryo phenotype","MGI:104659","MP:0004132","absent embryonic cilia","Yes","MP:0005380","HP:0001197","Abnormality of prenatal development or birth","MP:0005380"
