"","Expression Type","Number of Genes","HPO.MP","Expression"
"47","Human Genes with Expression >/= 0.1 TPM",340,"Abnormality of the breast+endocrine/exocrine gland phenotype","No"
"48","Human Genes with Expression >/= 0.1 TPM",3296,"Abnormality of the breast+endocrine/exocrine gland phenotype","Yes"
"49","Human Genes with Expression >/= 0.1 TPM",2366,"Abnormality of the cardiovascular system+cardiovascular system phenotype","No"
"50","Human Genes with Expression >/= 0.1 TPM",15799,"Abnormality of the cardiovascular system+cardiovascular system phenotype","Yes"
"51","Human Genes with Expression >/= 0.1 TPM",4049,"Abnormality of the digestive system+liver/biliary system phenotype","No"
"52","Human Genes with Expression >/= 0.1 TPM",4049,"Abnormality of the digestive system+digestive/alimentary phenotype","No"
"53","Human Genes with Expression >/= 0.1 TPM",32275,"Abnormality of the digestive system+digestive/alimentary phenotype","Yes"
"54","Human Genes with Expression >/= 0.1 TPM",32275,"Abnormality of the digestive system+liver/biliary system phenotype","Yes"
"55","Human Genes with Expression >/= 0.1 TPM",32275,"Abnormality of the digestive system+taste/olfaction phenotype","Yes"
"56","Human Genes with Expression >/= 0.1 TPM",1039,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","No"
"57","Human Genes with Expression >/= 0.1 TPM",9864,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","Yes"
"58","Human Genes with Expression >/= 0.1 TPM",3215,"Abnormality of the genitourinary system+reproductive system phenotype","No"
"59","Human Genes with Expression >/= 0.1 TPM",3215,"Abnormality of the genitourinary system+renal/urinary system phenotype","No"
"60","Human Genes with Expression >/= 0.1 TPM",33113,"Abnormality of the genitourinary system+renal/urinary system phenotype","Yes"
"61","Human Genes with Expression >/= 0.1 TPM",33113,"Abnormality of the genitourinary system+reproductive system phenotype","Yes"
"62","Human Genes with Expression >/= 0.1 TPM",407,"Abnormality of the immune system+immune system phenotype","No"
"63","Human Genes with Expression >/= 0.1 TPM",3226,"Abnormality of the immune system+immune system phenotype","Yes"
"64","Human Genes with Expression >/= 0.1 TPM",673,"Abnormality of the integument+integument phenotype","No"
"65","Human Genes with Expression >/= 0.1 TPM",673,"Abnormality of the integument+pigmentation phenotype","No"
"66","Human Genes with Expression >/= 0.1 TPM",6597,"Abnormality of the integument+pigmentation phenotype","Yes"
"67","Human Genes with Expression >/= 0.1 TPM",6597,"Abnormality of the integument+integument phenotype","Yes"
"68","Human Genes with Expression >/= 0.1 TPM",648,"Abnormality of the musculature+muscle phenotype","No"
"69","Human Genes with Expression >/= 0.1 TPM",2985,"Abnormality of the musculature+muscle phenotype","Yes"
"70","Human Genes with Expression >/= 0.1 TPM",5119,"Abnormality of the nervous system+nervous system phenotype","No"
"71","Human Genes with Expression >/= 0.1 TPM",49395,"Abnormality of the nervous system+nervous system phenotype","Yes"
"72","Human Genes with Expression >/= 0.1 TPM",49395,"Abnormality of the nervous system+taste/olfaction phenotype","Yes"
"73","Human Genes with Expression >/= 0.1 TPM",324,"Abnormality of the respiratory system+respiratory system phenotype","No"
"74","Human Genes with Expression >/= 0.1 TPM",3310,"Abnormality of the respiratory system+respiratory system phenotype","Yes"
"75","Human Genes with Expression >/= 0.1 TPM",648,"Abnormality of the skeletal system+skeleton phenotype","No"
"76","Human Genes with Expression >/= 0.1 TPM",648,"Abnormality of the skeletal system+growth/size/body region phenotype","No"
"77","Human Genes with Expression >/= 0.1 TPM",2985,"Abnormality of the skeletal system+growth/size/body region phenotype","Yes"
"78","Human Genes with Expression >/= 0.1 TPM",2985,"Abnormality of the skeletal system+skeleton phenotype","Yes"
"79","Human Genes with Expression >/= 1 TPM",1514,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","No"
"80","Human Genes with Expression >/= 1 TPM",2122,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","Yes"
"81","Human Genes with Expression >/= 1 TPM",5571,"Abnormality of connective tissue+adipose tissue phenotype","Yes"
"82","Human Genes with Expression >/= 1 TPM",798,"Abnormality of head or neck+craniofacial phenotype","No"
"83","Human Genes with Expression >/= 1 TPM",2837,"Abnormality of head or neck+craniofacial phenotype","Yes"
"84","Human Genes with Expression >/= 1 TPM",1514,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","No"
"85","Human Genes with Expression >/= 1 TPM",2122,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","Yes"
"86","Human Genes with Expression >/= 1 TPM",792,"Abnormality of the breast+endocrine/exocrine gland phenotype","No"
"87","Human Genes with Expression >/= 1 TPM",2844,"Abnormality of the breast+endocrine/exocrine gland phenotype","Yes"
"88","Human Genes with Expression >/= 1 TPM",4714,"Abnormality of the cardiovascular system+cardiovascular system phenotype","No"
"89","Human Genes with Expression >/= 1 TPM",13451,"Abnormality of the cardiovascular system+cardiovascular system phenotype","Yes"
"90","Human Genes with Expression >/= 1 TPM",8958,"Abnormality of the digestive system+liver/biliary system phenotype","No"
"91","Human Genes with Expression >/= 1 TPM",8958,"Abnormality of the digestive system+digestive/alimentary phenotype","No"
"92","Human Genes with Expression >/= 1 TPM",27366,"Abnormality of the digestive system+digestive/alimentary phenotype","Yes"
"93","Human Genes with Expression >/= 1 TPM",27366,"Abnormality of the digestive system+liver/biliary system phenotype","Yes"
"94","Human Genes with Expression >/= 1 TPM",27366,"Abnormality of the digestive system+taste/olfaction phenotype","Yes"
"95","Human Genes with Expression >/= 1 TPM",2356,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","No"
"96","Human Genes with Expression >/= 1 TPM",8547,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","Yes"
"97","Human Genes with Expression >/= 1 TPM",7602,"Abnormality of the genitourinary system+reproductive system phenotype","No"
"98","Human Genes with Expression >/= 1 TPM",7602,"Abnormality of the genitourinary system+renal/urinary system phenotype","No"
"99","Human Genes with Expression >/= 1 TPM",28726,"Abnormality of the genitourinary system+renal/urinary system phenotype","Yes"
"100","Human Genes with Expression >/= 1 TPM",28726,"Abnormality of the genitourinary system+reproductive system phenotype","Yes"
"101","Human Genes with Expression >/= 1 TPM",826,"Abnormality of the immune system+immune system phenotype","No"
"102","Human Genes with Expression >/= 1 TPM",2807,"Abnormality of the immune system+immune system phenotype","Yes"
"103","Human Genes with Expression >/= 1 TPM",1551,"Abnormality of the integument+integument phenotype","No"
"104","Human Genes with Expression >/= 1 TPM",1551,"Abnormality of the integument+pigmentation phenotype","No"
"105","Human Genes with Expression >/= 1 TPM",5719,"Abnormality of the integument+pigmentation phenotype","Yes"
"106","Human Genes with Expression >/= 1 TPM",5719,"Abnormality of the integument+integument phenotype","Yes"
"107","Human Genes with Expression >/= 1 TPM",1188,"Abnormality of the musculature+muscle phenotype","No"
"108","Human Genes with Expression >/= 1 TPM",2445,"Abnormality of the musculature+muscle phenotype","Yes"
"109","Human Genes with Expression >/= 1 TPM",12483,"Abnormality of the nervous system+nervous system phenotype","No"
"110","Human Genes with Expression >/= 1 TPM",42031,"Abnormality of the nervous system+nervous system phenotype","Yes"
"111","Human Genes with Expression >/= 1 TPM",42031,"Abnormality of the nervous system+taste/olfaction phenotype","Yes"
"112","Human Genes with Expression >/= 1 TPM",703,"Abnormality of the respiratory system+respiratory system phenotype","No"
"113","Human Genes with Expression >/= 1 TPM",2931,"Abnormality of the respiratory system+respiratory system phenotype","Yes"
"114","Human Genes with Expression >/= 1 TPM",1188,"Abnormality of the skeletal system+skeleton phenotype","No"
"115","Human Genes with Expression >/= 1 TPM",1188,"Abnormality of the skeletal system+growth/size/body region phenotype","No"
"116","Human Genes with Expression >/= 1 TPM",2445,"Abnormality of the skeletal system+growth/size/body region phenotype","Yes"
"117","Human Genes with Expression >/= 1 TPM",2445,"Abnormality of the skeletal system+skeleton phenotype","Yes"
"118","Knockout Mice",3,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","No"
"119","Knockout Mice",6,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","Yes"
"120","Knockout Mice",6,"Abnormality of connective tissue+adipose tissue phenotype","Yes"
"121","Knockout Mice",4,"Abnormality of head or neck+craniofacial phenotype","No"
"122","Knockout Mice",21,"Abnormality of head or neck+craniofacial phenotype","Yes"
"123","Knockout Mice",1,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","No"
"124","Knockout Mice",16,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","Yes"
"125","Knockout Mice",4,"Abnormality of the breast+endocrine/exocrine gland phenotype","No"
"126","Knockout Mice",42,"Abnormality of the breast+endocrine/exocrine gland phenotype","Yes"
"127","Knockout Mice",18,"Abnormality of the cardiovascular system+cardiovascular system phenotype","No"
"128","Knockout Mice",84,"Abnormality of the cardiovascular system+cardiovascular system phenotype","Yes"
"129","Knockout Mice",17,"Abnormality of the digestive system+liver/biliary system phenotype","No"
"130","Knockout Mice",1,"Abnormality of the digestive system+digestive/alimentary phenotype","No"
"131","Knockout Mice",10,"Abnormality of the digestive system+digestive/alimentary phenotype","Yes"
"132","Knockout Mice",52,"Abnormality of the digestive system+liver/biliary system phenotype","Yes"
"133","Knockout Mice",2,"Abnormality of the digestive system+taste/olfaction phenotype","Yes"
"134","Knockout Mice",4,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","No"
"135","Knockout Mice",42,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","Yes"
"136","Knockout Mice",5,"Abnormality of the genitourinary system+reproductive system phenotype","No"
"137","Knockout Mice",2,"Abnormality of the genitourinary system+renal/urinary system phenotype","No"
"138","Knockout Mice",48,"Abnormality of the genitourinary system+renal/urinary system phenotype","Yes"
"139","Knockout Mice",28,"Abnormality of the genitourinary system+reproductive system phenotype","Yes"
"140","Knockout Mice",2,"Abnormality of the immune system+immune system phenotype","No"
"141","Knockout Mice",20,"Abnormality of the immune system+immune system phenotype","Yes"
"142","Knockout Mice",10,"Abnormality of the integument+integument phenotype","No"
"143","Knockout Mice",2,"Abnormality of the integument+pigmentation phenotype","No"
"144","Knockout Mice",5,"Abnormality of the integument+pigmentation phenotype","Yes"
"145","Knockout Mice",63,"Abnormality of the integument+integument phenotype","Yes"
"146","Knockout Mice",2,"Abnormality of the musculature+muscle phenotype","No"
"147","Knockout Mice",17,"Abnormality of the musculature+muscle phenotype","Yes"
"148","Knockout Mice",7,"Abnormality of the nervous system+nervous system phenotype","No"
"149","Knockout Mice",93,"Abnormality of the nervous system+nervous system phenotype","Yes"
"150","Knockout Mice",2,"Abnormality of the nervous system+taste/olfaction phenotype","Yes"
"151","Knockout Mice",5,"Abnormality of the respiratory system+respiratory system phenotype","No"
"152","Knockout Mice",21,"Abnormality of the respiratory system+respiratory system phenotype","Yes"
"153","Knockout Mice",4,"Abnormality of the skeletal system+skeleton phenotype","No"
"154","Knockout Mice",9,"Abnormality of the skeletal system+growth/size/body region phenotype","No"
"155","Knockout Mice",42,"Abnormality of the skeletal system+growth/size/body region phenotype","Yes"
"156","Knockout Mice",60,"Abnormality of the skeletal system+skeleton phenotype","Yes"
