"","MGI.ID","MP.ID","MP.Term","mp.description","EMAPA.ID","EMAPA.Term","Gene.Anatomy","mp.ancestors","TS28.mutant.expression.detected","TS28.wt.expression.detected","Mutant.WT.Expression"
"11","MGI:95566","MP:0003400","kinked neural tube","embryo phenotype","EMAPA:16164","neural tube","MGI:95566-neural tube","MP:0005380","Yes","Yes","Yes-Yes"
"12","MGI:88071","MP:0001711","abnormal placenta morphology","embryo phenotype","EMAPA:35689","placenta","MGI:88071-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"13","MGI:88071","MP:0003231","abnormal placenta vasculature","embryo phenotype","EMAPA:35689","placenta","MGI:88071-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"14","MGI:88071","MP:0003231","abnormal placenta vasculature","cardiovascular system phenotype","EMAPA:35689","placenta","MGI:88071-placenta","MP:0005385","Yes","Yes","Yes-Yes"
"15","MGI:95688","MP:0002110","abnormal digit morphology","limbs/digits/tail phenotype","EMAPA:32725","limb digit","MGI:95688-limb digit","MP:0005371","Yes","Yes","Yes-Yes"
"16","MGI:95688","MP:0006280","abnormal digit development","limbs/digits/tail phenotype","EMAPA:32725","limb digit","MGI:95688-limb digit","MP:0005371","Yes","Yes","Yes-Yes"
"17","MGI:1347481","MP:0006354","abnormal fourth pharyngeal arch artery morphology","embryo phenotype","EMAPA:17004","4th arch artery","MGI:1347481-4th arch artery","MP:0005380","Yes","Yes","Yes-Yes"
"18","MGI:1347481","MP:0006354","abnormal fourth pharyngeal arch artery morphology","craniofacial phenotype","EMAPA:17004","4th arch artery","MGI:1347481-4th arch artery","MP:0005382","Yes","Yes","Yes-Yes"
"19","MGI:1347481","MP:0006354","abnormal fourth pharyngeal arch artery morphology","cardiovascular system phenotype","EMAPA:17004","4th arch artery","MGI:1347481-4th arch artery","MP:0005385","Yes","Yes","Yes-Yes"
"20","MGI:88180","MP:0003087","absent allantois","embryo phenotype","EMAPA:16107","allantois","MGI:88180-allantois","MP:0005380","Yes","Yes","Yes-Yes"
"21","MGI:101926","MP:0000914","exencephaly","nervous system phenotype","EMAPA:16894","brain","MGI:101926-brain","MP:0003631","Yes","Yes","Yes-Yes"
"22","MGI:101926","MP:0000041","absent endolymphatic duct","hearing/vestibular/ear phenotype","EMAPA:18580","endolymphatic duct","MGI:101926-endolymphatic duct","MP:0005377","Yes","Yes","Yes-Yes"
"23","MGI:96247","MP:0003231","abnormal placenta vasculature","embryo phenotype","EMAPA:35689","placenta","MGI:96247-placenta","MP:0005380","No","Yes","No-Yes"
"24","MGI:96247","MP:0003231","abnormal placenta vasculature","cardiovascular system phenotype","EMAPA:35689","placenta","MGI:96247-placenta","MP:0005385","No","Yes","No-Yes"
"25","MGI:96247","MP:0004086","absent heartbeat","cardiovascular system phenotype","EMAPA:16105","heart","MGI:96247-heart","MP:0005385","Yes","Yes","Yes-Yes"
"26","MGI:88355","MP:0000274","enlarged heart","cardiovascular system phenotype","EMAPA:16105","heart","MGI:88355-heart","MP:0005385","Yes","Yes","Yes-Yes"
"27","MGI:88355","MP:0005329","abnormal myocardium layer morphology","muscle phenotype","EMAPA:32688","cardiac muscle tissue","MGI:88355-cardiac muscle tissue","MP:0005369","Yes","Yes","Yes-Yes"
"28","MGI:88355","MP:0005329","abnormal myocardium layer morphology","cardiovascular system phenotype","EMAPA:32688","cardiac muscle tissue","MGI:88355-cardiac muscle tissue","MP:0005385","Yes","Yes","Yes-Yes"
"29","MGI:1347470","MP:0001726","abnormal allantois morphology","embryo phenotype","EMAPA:16107","allantois","MGI:1347470-allantois","MP:0005380","Yes","Yes","Yes-Yes"
"30","MGI:1347470","MP:0004559","small allantois","embryo phenotype","EMAPA:16107","allantois","MGI:1347470-allantois","MP:0005380","Yes","Yes","Yes-Yes"
"31","MGI:1347470","MP:0008786","abnormal hindgut morphology","digestive/alimentary phenotype","EMAPA:16715","hindgut","MGI:1347470-hindgut","MP:0005381","Yes","Yes","Yes-Yes"
"32","MGI:1347470","MP:0009706","absent midgut","digestive/alimentary phenotype","EMAPA:16255","midgut","MGI:1347470-midgut","MP:0005381","Yes","Yes","Yes-Yes"
"33","MGI:1347470","MP:0010117","abnormal lateral plate mesoderm morphology","embryo phenotype","EMAPA:16179","lateral plate mesoderm","MGI:1347470-lateral plate mesoderm","MP:0005380","Yes","Yes","Yes-Yes"
"34","MGI:95411","MP:0000300","thin atrioventricular cushion","cardiovascular system phenotype","EMAPA:16696","endocardial cushion","MGI:95411-endocardial cushion","MP:0005385","Yes","Yes","Yes-Yes"
"35","MGI:95389","MP:0001676","abnormal apical ectodermal ridge morphology","limbs/digits/tail phenotype","EMAPA:32744","apical ectodermal ridge","MGI:95389-apical ectodermal ridge","MP:0005371","Yes","Yes","Yes-Yes"
"36","MGI:95389","MP:0001676","abnormal apical ectodermal ridge morphology","embryo phenotype","EMAPA:32744","apical ectodermal ridge","MGI:95389-apical ectodermal ridge","MP:0005380","Yes","Yes","Yes-Yes"
"37","MGI:1100864","MP:0004131","abnormal motile primary cilium morphology","embryo phenotype","EMAPA:16075","node","MGI:1100864-node","MP:0005380","Yes","Yes","Yes-Yes"
"38","MGI:1100864","MP:0004131","abnormal motile primary cilium morphology","cellular phenotype","EMAPA:16075","node","MGI:1100864-node","MP:0005384","Yes","Yes","Yes-Yes"
"39","MGI:96198","MP:0002114","abnormal axial skeleton morphology","skeleton phenotype","EMAPA:17214","axial skeleton","MGI:96198-axial skeleton","MP:0005390","Yes","Yes","Yes-Yes"
"40","MGI:104853","MP:0000433","microcephaly","growth/size/body region phenotype","EMAPA:31858","head","MGI:104853-head","MP:0005378","Yes","Yes","Yes-Yes"
"41","MGI:104853","MP:0002151","abnormal neural tube morphology","nervous system phenotype","EMAPA:16164","neural tube","MGI:104853-neural tube","MP:0003631","Yes","Yes","Yes-Yes"
"42","MGI:104853","MP:0002151","abnormal neural tube morphology","embryo phenotype","EMAPA:16164","neural tube","MGI:104853-neural tube","MP:0005380","Yes","Yes","Yes-Yes"
"43","MGI:104853","MP:0001944","abnormal pancreas morphology","endocrine/exocrine gland phenotype","EMAPA:17503","pancreas","MGI:104853-pancreas","MP:0005379","Yes","Yes","Yes-Yes"
"44","MGI:104853","MP:0006069","abnormal retinal neuronal layer morphology","vision/eye phenotype","EMAPA:17171","neural retinal epithelium","MGI:104853-neural retinal epithelium","MP:0005391","Yes","Yes","Yes-Yes"
"45","MGI:104853","MP:0006069","abnormal retinal neuronal layer morphology","vision/eye phenotype","EMAPA:18590","neural retina","MGI:104853-neural retina","MP:0005391","Yes","Yes","Yes-Yes"
"46","MGI:104853","MP:0003400","kinked neural tube","nervous system phenotype","EMAPA:16164","neural tube","MGI:104853-neural tube","MP:0003631","Yes","Yes","Yes-Yes"
"47","MGI:104853","MP:0003400","kinked neural tube","embryo phenotype","EMAPA:16164","neural tube","MGI:104853-neural tube","MP:0005380","Yes","Yes","Yes-Yes"
"48","MGI:104853","MP:0006292","abnormal nasal placode morphology","craniofacial phenotype","EMAPA:16543","olfactory placode","MGI:104853-olfactory placode","MP:0005382","Yes","Yes","Yes-Yes"
"49","MGI:104853","MP:0006292","abnormal nasal placode morphology","respiratory system phenotype","EMAPA:16543","olfactory placode","MGI:104853-olfactory placode","MP:0005388","Yes","Yes","Yes-Yes"
"50","MGI:104853","MP:0006292","abnormal nasal placode morphology","taste/olfaction phenotype","EMAPA:16543","olfactory placode","MGI:104853-olfactory placode","MP:0005394","Yes","Yes","Yes-Yes"
"51","MGI:95523","MP:0001181","absent lungs","respiratory system phenotype","EMAPA:16728","lung","MGI:95523-lung","MP:0005388","Yes","Yes","Yes-Yes"
"52","MGI:95523","MP:0001199","thin skin","integument phenotype","EMAPA:17525","skin","MGI:95523-skin","MP:0010771","Yes","Yes","Yes-Yes"
"53","MGI:95523","MP:0001201","translucent skin","integument phenotype","EMAPA:17525","skin","MGI:95523-skin","MP:0010771","Yes","Yes","Yes-Yes"
"54","MGI:95523","MP:0003308","abnormal cochlear sensory epithelium morphology","hearing/vestibular/ear phenotype","EMAPA:32883","inner ear epithelium","MGI:95523-inner ear epithelium","MP:0005377","Yes","Yes","Yes-Yes"
"55","MGI:95523","MP:0011627","decreased skin pigmentation","pigmentation phenotype","EMAPA:17525","skin","MGI:95523-skin","MP:0001186","Yes","Yes","Yes-Yes"
"56","MGI:95523","MP:0011627","decreased skin pigmentation","integument phenotype","EMAPA:17525","skin","MGI:95523-skin","MP:0010771","Yes","Yes","Yes-Yes"
"57","MGI:95522","MP:0002231","abnormal primitive streak morphology","embryo phenotype","EMAPA:16072","primitive streak","MGI:95522-primitive streak","MP:0005380","No","Yes","No-Yes"
"58","MGI:95522","MP:0001698","decreased embryo size","growth/size/body region phenotype","EMAPA:16039","embryo","MGI:95522-embryo","MP:0005378","Yes","Yes","Yes-Yes"
"59","MGI:95522","MP:0001698","decreased embryo size","embryo phenotype","EMAPA:16039","embryo","MGI:95522-embryo","MP:0005380","Yes","Yes","Yes-Yes"
"60","MGI:95522","MP:0006386","absent somites","embryo phenotype","EMAPA:31169","somite","MGI:95522-somite","MP:0005380","Yes","Yes","Yes-Yes"
"61","MGI:96575","MP:0002628","hepatic steatosis","liver/biliary system phenotype","EMAPA:16846","liver","MGI:96575-liver","MP:0005370","Yes","Yes","Yes-Yes"
"62","MGI:96575","MP:0000599","enlarged liver","liver/biliary system phenotype","EMAPA:16846","liver","MGI:96575-liver","MP:0005370","Yes","Yes","Yes-Yes"
"63","MGI:1347464","MP:0008789","abnormal olfactory epithelium morphology","growth/size/body region phenotype","EMAPA:17606","olfactory epithelium","MGI:1347464-olfactory epithelium","MP:0005378","Yes","Yes","Yes-Yes"
"64","MGI:1347464","MP:0008789","abnormal olfactory epithelium morphology","craniofacial phenotype","EMAPA:17606","olfactory epithelium","MGI:1347464-olfactory epithelium","MP:0005382","Yes","Yes","Yes-Yes"
"65","MGI:1347464","MP:0008789","abnormal olfactory epithelium morphology","respiratory system phenotype","EMAPA:17606","olfactory epithelium","MGI:1347464-olfactory epithelium","MP:0005388","Yes","Yes","Yes-Yes"
"66","MGI:1347464","MP:0008789","abnormal olfactory epithelium morphology","taste/olfaction phenotype","EMAPA:17606","olfactory epithelium","MGI:1347464-olfactory epithelium","MP:0005394","Yes","Yes","Yes-Yes"
"67","MGI:95602","MP:0009940","abnormal hippocampus pyramidal cell morphology","nervous system phenotype","EMAPA:32845","hippocampus","MGI:95602-hippocampus","MP:0003631","Yes","Yes","Yes-Yes"
"68","MGI:95602","MP:0009970","increased hippocampus pyramidal cell number","nervous system phenotype","EMAPA:32845","hippocampus","MGI:95602-hippocampus","MP:0003631","Yes","Yes","Yes-Yes"
"69","MGI:95692","MP:0001126","abnormal ovary morphology","endocrine/exocrine gland phenotype","EMAPA:17962","ovary","MGI:95692-ovary","MP:0005379","Yes","Yes","Yes-Yes"
"70","MGI:95692","MP:0001126","abnormal ovary morphology","reproductive system phenotype","EMAPA:17962","ovary","MGI:95692-ovary","MP:0005389","Yes","Yes","Yes-Yes"
"71","MGI:95692","MP:0001127","small ovary","endocrine/exocrine gland phenotype","EMAPA:17962","ovary","MGI:95692-ovary","MP:0005379","Yes","Yes","Yes-Yes"
"72","MGI:95692","MP:0001127","small ovary","reproductive system phenotype","EMAPA:17962","ovary","MGI:95692-ovary","MP:0005389","Yes","Yes","Yes-Yes"
"73","MGI:95692","MP:0002016","ovary cysts","endocrine/exocrine gland phenotype","EMAPA:17962","ovary","MGI:95692-ovary","MP:0005379","Yes","Yes","Yes-Yes"
"74","MGI:95692","MP:0002016","ovary cysts","reproductive system phenotype","EMAPA:17962","ovary","MGI:95692-ovary","MP:0005389","Yes","Yes","Yes-Yes"
"75","MGI:99560","MP:0000763","abnormal filiform papillae morphology","growth/size/body region phenotype","EMAPA:18873","filiform papillae","MGI:99560-filiform papillae","MP:0005378","No","Yes","No-Yes"
"76","MGI:99560","MP:0000763","abnormal filiform papillae morphology","digestive/alimentary phenotype","EMAPA:18873","filiform papillae","MGI:99560-filiform papillae","MP:0005381","No","Yes","No-Yes"
"77","MGI:99560","MP:0000763","abnormal filiform papillae morphology","craniofacial phenotype","EMAPA:18873","filiform papillae","MGI:99560-filiform papillae","MP:0005382","No","Yes","No-Yes"
"78","MGI:99560","MP:0010233","hairless tail","limbs/digits/tail phenotype","EMAPA:16748","tail","MGI:99560-tail","MP:0005371","Yes","Yes","Yes-Yes"
"79","MGI:96433","MP:0001177","atelectasis","respiratory system phenotype","EMAPA:16728","lung","MGI:96433-lung","MP:0005388","Yes","Yes","Yes-Yes"
"80","MGI:1306796","MP:0000914","exencephaly","nervous system phenotype","EMAPA:16894","brain","MGI:1306796-brain","MP:0003631","Yes","Yes","Yes-Yes"
"81","MGI:88526","MP:0001304","cataract","vision/eye phenotype","EMAPA:17838","lens","MGI:88526-lens","MP:0005391","Yes","Yes","Yes-Yes"
"82","MGI:101764","MP:0012468","decreased striatum area","nervous system phenotype","EMAPA:17549","corpus striatum","MGI:101764-corpus striatum","MP:0003631","Yes","Yes","Yes-Yes"
"83","MGI:104565","MP:0010320","increased pituitary gland tumor incidence","neoplasm","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0002006","Yes","Yes","Yes-Yes"
"84","MGI:104565","MP:0010320","increased pituitary gland tumor incidence","nervous system phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0003631","Yes","Yes","Yes-Yes"
"85","MGI:104565","MP:0010320","increased pituitary gland tumor incidence","endocrine/exocrine gland phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0005379","Yes","Yes","Yes-Yes"
"86","MGI:104565","MP:0008939","increased pituitary gland weight","nervous system phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0003631","Yes","Yes","Yes-Yes"
"87","MGI:104565","MP:0008939","increased pituitary gland weight","endocrine/exocrine gland phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0005379","Yes","Yes","Yes-Yes"
"88","MGI:104565","MP:0000635","pituitary gland hyperplasia","nervous system phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0003631","Yes","Yes","Yes-Yes"
"89","MGI:104565","MP:0000635","pituitary gland hyperplasia","endocrine/exocrine gland phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0005379","Yes","Yes","Yes-Yes"
"90","MGI:104565","MP:0000636","enlarged pituitary gland","nervous system phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0003631","Yes","Yes","Yes-Yes"
"91","MGI:104565","MP:0000636","enlarged pituitary gland","endocrine/exocrine gland phenotype","EMAPA:35998","pituitary gland","MGI:104565-pituitary gland","MP:0005379","Yes","Yes","Yes-Yes"
"92","MGI:104564","MP:0004255","abnormal spongiotrophoblast layer morphology","embryo phenotype","EMAPA:31876","spongiotrophoblast","MGI:104564-spongiotrophoblast","MP:0005380","Yes","Yes","Yes-Yes"
"93","MGI:104564","MP:0004260","enlarged placenta","embryo phenotype","EMAPA:35689","placenta","MGI:104564-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"94","MGI:104564","MP:0004920","increased placenta weight","embryo phenotype","EMAPA:35689","placenta","MGI:104564-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"95","MGI:88515","MP:0001303","abnormal lens morphology","vision/eye phenotype","EMAPA:17838","lens","MGI:88515-lens","MP:0005391","Yes","Yes","Yes-Yes"
"96","MGI:88515","MP:0001304","cataract","vision/eye phenotype","EMAPA:17838","lens","MGI:88515-lens","MP:0005391","Yes","Yes","Yes-Yes"
"97","MGI:88515","MP:0002840","abnormal lens fiber morphology","vision/eye phenotype","EMAPA:17841","lens fiber","MGI:88515-lens fiber","MP:0005391","Yes","Yes","Yes-Yes"
"98","MGI:88515","MP:0011697","vacuolated lens","vision/eye phenotype","EMAPA:17838","lens","MGI:88515-lens","MP:0005391","Yes","Yes","Yes-Yes"
"99","MGI:88515","MP:0001306","small lens","vision/eye phenotype","EMAPA:17838","lens","MGI:88515-lens","MP:0005391","Yes","Yes","Yes-Yes"
"100","MGI:88515","MP:0008794","increased lens epithelium apoptosis","cellular phenotype","EMAPA:32871","lens epithelium","MGI:88515-lens epithelium","MP:0005384","Yes","Yes","Yes-Yes"
"101","MGI:88515","MP:0008794","increased lens epithelium apoptosis","vision/eye phenotype","EMAPA:32871","lens epithelium","MGI:88515-lens epithelium","MP:0005391","Yes","Yes","Yes-Yes"
"102","MGI:99499","MP:0001212","skin lesions","integument phenotype","EMAPA:17525","skin","MGI:99499-skin","MP:0010771","Yes","Yes","Yes-Yes"
"103","MGI:95294","MP:0001341","absent eyelids","vision/eye phenotype","EMAPA:17829","eyelid","MGI:95294-eyelid","MP:0005391","Yes","Yes","Yes-Yes"
"104","MGI:95294","MP:0000788","abnormal cerebral cortex morphology","nervous system phenotype","EMAPA:17544","cerebral cortex","MGI:95294-cerebral cortex","MP:0003631","Yes","Yes","Yes-Yes"
"105","MGI:95294","MP:0000852","small cerebellum","nervous system phenotype","EMAPA:17787","cerebellum","MGI:95294-cerebellum","MP:0003631","Yes","Yes","Yes-Yes"
"106","MGI:95294","MP:0006254","thin cerebral cortex","nervous system phenotype","EMAPA:17544","cerebral cortex","MGI:95294-cerebral cortex","MP:0003631","Yes","Yes","Yes-Yes"
"107","MGI:95389","MP:0002109","abnormal limb morphology","limbs/digits/tail phenotype","EMAPA:16405","limb","MGI:95389-limb","MP:0005371","Yes","Yes","Yes-Yes"
"108","MGI:95389","MP:0001679","thin apical ectodermal ridge","limbs/digits/tail phenotype","EMAPA:32744","apical ectodermal ridge","MGI:95389-apical ectodermal ridge","MP:0005371","Yes","Yes","Yes-Yes"
"109","MGI:95389","MP:0001679","thin apical ectodermal ridge","embryo phenotype","EMAPA:32744","apical ectodermal ridge","MGI:95389-apical ectodermal ridge","MP:0005380","Yes","Yes","Yes-Yes"
"110","MGI:95389","MP:0012089","decreased midbrain size","nervous system phenotype","EMAPA:16974","midbrain","MGI:95389-midbrain","MP:0003631","Yes","Yes","Yes-Yes"
"111","MGI:95411","MP:0000961","abnormal dorsal root ganglion morphology","nervous system phenotype","EMAPA:16668","dorsal root ganglion","MGI:95411-dorsal root ganglion","MP:0003631","Yes","Yes","Yes-Yes"
"112","MGI:95411","MP:0000964","small dorsal root ganglion","nervous system phenotype","EMAPA:16668","dorsal root ganglion","MGI:95411-dorsal root ganglion","MP:0003631","Yes","Yes","Yes-Yes"
"113","MGI:95513","MP:0002981","increased liver weight","liver/biliary system phenotype","EMAPA:16846","liver","MGI:95513-liver","MP:0005370","Yes","Yes","Yes-Yes"
"114","MGI:1099809","MP:0013721","abnormal mammary placode morphology","endocrine/exocrine gland phenotype","EMAPA:35541","mammary placode","MGI:1099809-mammary placode","MP:0005379","Yes","Yes","Yes-Yes"
"115","MGI:1099809","MP:0013721","abnormal mammary placode morphology","integument phenotype","EMAPA:35541","mammary placode","MGI:1099809-mammary placode","MP:0010771","Yes","Yes","Yes-Yes"
"116","MGI:2177632","MP:0003068","enlarged kidney","renal/urinary system phenotype","EMAPA:17373","metanephros","MGI:2177632-metanephros","MP:0005367","Yes","Yes","Yes-Yes"
"117","MGI:2177632","MP:0003675","kidney cysts","renal/urinary system phenotype","EMAPA:17373","metanephros","MGI:2177632-metanephros","MP:0005367","Yes","Yes","Yes-Yes"
"118","MGI:2177632","MP:0003917","increased kidney weight","renal/urinary system phenotype","EMAPA:17373","metanephros","MGI:2177632-metanephros","MP:0005367","Yes","Yes","Yes-Yes"
"119","MGI:2177632","MP:0008528","polycystic kidney","renal/urinary system phenotype","EMAPA:17373","metanephros","MGI:2177632-metanephros","MP:0005367","Yes","Yes","Yes-Yes"
"120","MGI:1306784","MP:0000266","abnormal heart morphology","cardiovascular system phenotype","EMAPA:16105","heart","MGI:1306784-heart","MP:0005385","Yes","Yes","Yes-Yes"
"121","MGI:105393","MP:0004856","decreased ovary weight","endocrine/exocrine gland phenotype","EMAPA:17962","ovary","MGI:105393-ovary","MP:0005379","Yes","Yes","Yes-Yes"
"122","MGI:105393","MP:0004856","decreased ovary weight","reproductive system phenotype","EMAPA:17962","ovary","MGI:105393-ovary","MP:0005389","Yes","Yes","Yes-Yes"
"123","MGI:96608","MP:0001711","abnormal placenta morphology","embryo phenotype","EMAPA:35689","placenta","MGI:96608-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"124","MGI:96608","MP:0003231","abnormal placenta vasculature","embryo phenotype","EMAPA:35689","placenta","MGI:96608-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"125","MGI:96608","MP:0003231","abnormal placenta vasculature","cardiovascular system phenotype","EMAPA:35689","placenta","MGI:96608-placenta","MP:0005385","Yes","Yes","Yes-Yes"
"126","MGI:103577","MP:0005029","abnormal amnion morphology","embryo phenotype","EMAPA:16109","amnion","MGI:103577-amnion","MP:0005380","Yes","Yes","Yes-Yes"
"127","MGI:103577","MP:0002836","abnormal chorion morphology","embryo phenotype","EMAPA:16112","chorion","MGI:103577-chorion","MP:0005380","Yes","Yes","Yes-Yes"
"128","MGI:95662","MP:0001722","pale yolk sac","embryo phenotype","EMAPA:16085","yolk sac","MGI:95662-yolk sac","MP:0005380","Yes","Yes","Yes-Yes"
"129","MGI:95663","MP:0002152","abnormal brain morphology","nervous system phenotype","EMAPA:16894","brain","MGI:95663-brain","MP:0003631","Yes","Yes","Yes-Yes"
"130","MGI:95523","MP:0001711","abnormal placenta morphology","embryo phenotype","EMAPA:35689","placenta","MGI:95523-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"131","MGI:95523","MP:0003231","abnormal placenta vasculature","embryo phenotype","EMAPA:35689","placenta","MGI:95523-placenta","MP:0005380","Yes","Yes","Yes-Yes"
"132","MGI:95523","MP:0003231","abnormal placenta vasculature","cardiovascular system phenotype","EMAPA:35689","placenta","MGI:95523-placenta","MP:0005385","Yes","Yes","Yes-Yes"
"133","MGI:95523","MP:0004965","inner cell mass degeneration","embryo phenotype","EMAPA:16041","inner cell mass","MGI:95523-inner cell mass","MP:0005380","Yes","Yes","Yes-Yes"
"134","MGI:95523","MP:0001175","abnormal lung morphology","respiratory system phenotype","EMAPA:16728","lung","MGI:95523-lung","MP:0005388","Yes","Yes","Yes-Yes"
"135","MGI:95523","MP:0000074","abnormal neurocranium morphology","craniofacial phenotype","EMAPA:17681","chondrocranium","MGI:95523-chondrocranium","MP:0005382","Yes","Yes","Yes-Yes"
"136","MGI:95523","MP:0000074","abnormal neurocranium morphology","skeleton phenotype","EMAPA:17681","chondrocranium","MGI:95523-chondrocranium","MP:0005390","Yes","Yes","Yes-Yes"
"137","MGI:95523","MP:0003641","small lung","respiratory system phenotype","EMAPA:16728","lung","MGI:95523-lung","MP:0005388","Yes","Yes","Yes-Yes"
"138","MGI:95523","MP:0002060","abnormal skin morphology","integument phenotype","EMAPA:17525","skin","MGI:95523-skin","MP:0010771","Yes","Yes","Yes-Yes"
"139","MGI:95523","MP:0000549","absent limbs","limbs/digits/tail phenotype","EMAPA:16405","limb","MGI:95523-limb","MP:0005371","Yes","Yes","Yes-Yes"
"140","MGI:96067","MP:0001698","decreased embryo size","growth/size/body region phenotype","EMAPA:16039","embryo","MGI:96067-embryo","MP:0005378","No","Yes","No-Yes"
"141","MGI:96067","MP:0001698","decreased embryo size","embryo phenotype","EMAPA:16039","embryo","MGI:96067-embryo","MP:0005380","No","Yes","No-Yes"
"142","MGI:103580","MP:0000550","abnormal forelimb morphology","limbs/digits/tail phenotype","EMAPA:17412","forelimb","MGI:103580-forelimb","MP:0005371","Yes","Yes","Yes-Yes"
"143","MGI:103580","MP:0002672","abnormal pharyngeal arch artery morphology","embryo phenotype","EMAPA:16684","branchial arch artery","MGI:103580-branchial arch artery","MP:0005380","Yes","Yes","Yes-Yes"
"144","MGI:103580","MP:0002672","abnormal pharyngeal arch artery morphology","craniofacial phenotype","EMAPA:16684","branchial arch artery","MGI:103580-branchial arch artery","MP:0005382","Yes","Yes","Yes-Yes"
"145","MGI:103580","MP:0002672","abnormal pharyngeal arch artery morphology","cardiovascular system phenotype","EMAPA:16684","branchial arch artery","MGI:103580-branchial arch artery","MP:0005385","Yes","Yes","Yes-Yes"
"146","MGI:103580","MP:0013164","abnormal forelimb bud morphology","limbs/digits/tail phenotype","EMAPA:16406","forelimb bud","MGI:103580-forelimb bud","MP:0005371","Yes","Yes","Yes-Yes"
"147","MGI:103580","MP:0013164","abnormal forelimb bud morphology","embryo phenotype","EMAPA:16406","forelimb bud","MGI:103580-forelimb bud","MP:0005380","Yes","Yes","Yes-Yes"
"148","MGI:103580","MP:0013166","small forelimb buds","limbs/digits/tail phenotype","EMAPA:16406","forelimb bud","MGI:103580-forelimb bud","MP:0005371","Yes","Yes","Yes-Yes"
"149","MGI:103580","MP:0013166","small forelimb buds","embryo phenotype","EMAPA:16406","forelimb bud","MGI:103580-forelimb bud","MP:0005380","Yes","Yes","Yes-Yes"
"150","MGI:105097","MP:0005329","abnormal myocardium layer morphology","muscle phenotype","EMAPA:32688","cardiac muscle tissue","MGI:105097-cardiac muscle tissue","MP:0005369","Yes","Yes","Yes-Yes"
"151","MGI:105097","MP:0005329","abnormal myocardium layer morphology","cardiovascular system phenotype","EMAPA:32688","cardiac muscle tissue","MGI:105097-cardiac muscle tissue","MP:0005385","Yes","Yes","Yes-Yes"
"152","MGI:105097","MP:0003974","abnormal endocardium morphology","cardiovascular system phenotype","EMAPA:32686","endocardial lining","MGI:105097-endocardial lining","MP:0005385","No","Yes","No-Yes"
"153","MGI:88139","MP:0001147","small testis","endocrine/exocrine gland phenotype","EMAPA:17972","testis","MGI:88139-testis","MP:0005379","Yes","Yes","Yes-Yes"
"154","MGI:88139","MP:0001147","small testis","reproductive system phenotype","EMAPA:17972","testis","MGI:88139-testis","MP:0005389","Yes","Yes","Yes-Yes"
