Tissue.number	GTEX.tissues	GTEX.tissue	HPO.id	HPO.description	Notes	HPO.superclass.id	HPO.superclass.description	HPO.superclass.physiological.system																																																	
Tissue.23	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts					Cells	cells																																																	
Tissue.24	Cervix - Ectocervix	Cervix_Ectocervix	HP:0012888	Abnormality of the uterine cervix	HP:0000142 / Abnormality of the vagina	HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.25	Cervix - Endocervix	Cervix_Endocervix	HP:0012888	Abnormality of the uterine cervix		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.26	Colon - Sigmoid	Colon_Sigmoid	HP:0002250	Abnormality of the large intestine		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.27	Colon - Transverse	Colon_Transverse	HP:0002250	Abnormality of the large intestine		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.28	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	HP:0011024	Abnormality of the gastrointestinal tract	morphology / physiology	HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.29	Esophagus - Mucosa	Esophagus_Mucosa	HP:0011024	Abnormality of the gastrointestinal tract		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.30	Esophagus - Muscularis	Esophagus_Muscularis	HP:0011024	Abnormality of the gastrointestinal tract		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.31	Fallopian Tube	Fallopian_Tube	HP:0011027	Abnormality of the fallopian tube		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.32	Heart - Atrial Appendage	Heart_Atrial_Appendage	HP:0001626	Abnormality of the cardiovascular system	morphology / physiology	HP:0001626	Abnormality of the cardiovascular system	cardiovascular system																																																	
Tissue.33	Heart - Left Ventricle	Heart_Left_Ventricle	HP:0001626	Abnormality of the cardiovascular system		HP:0001626	Abnormality of the cardiovascular system	cardiovascular system																																																	
Tissue.34	Kidney - Cortex	Kidney_Cortex	HP:0000077	Abnormality of the kidney		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.35	Liver	Liver	HP:0001392	Abnormality of the liver		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.36	Lung	Lung	HP:0002086	Abnormality of the respiratory system	morphology / physiology	HP:0002086	Abnormality of the respiratory system	respiratory system																																																	
Tissue.37	Minor Salivary Gland	Minor_Salivary_Gland	HP:0010286	Abnormal salivary gland morphology	morphology / physiology	HP:0000152	Abnormality of head or neck	head or neck																																																	
Tissue.38	Muscle - Skeletal	Muscle_Skeletal	HP:0000924	Abnormality of the skeletal system		HP:0000924	Abnormality of the skeletal system	skeletal system																																																	
Tissue.38	Muscle - Skeletal	Muscle_Skeletal	HP:0003011	Abnormality of the musculature		HP:0003011	Abnormality of the musculature	musculature																																																	
Tissue.39	Nerve - Tibial	Nerve_Tibial	HP:0000759	Abnormal peripheral nervous system morphology	morphology / physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.40	Ovary	Ovary	HP:0000137	Abnormality of the ovary		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.41	Pancreas	Pancreas	HP:0001732	Abnormality of the pancreas		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.42	Pituitary	Pituitary	HP:0012503	Abnormality of the pituitary gland		HP:0000818	Abnormality of the endocrine system	endocrine system																																																	
Tissue.42	Pituitary	Pituitary	HP:0012503	Abnormality of the pituitary gland		HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.43	Prostate	Prostate	HP:0008775	Abnormality of the prostate		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.44	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_(Suprapubic)	HP:0000951	Abnormality of the skin		HP:0001574	Abnormality of the integument	integument																																																	
Tissue.45	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_(Lower_leg)	HP:0000951	Abnormality of the skin		HP:0001574	Abnormality of the integument	integument																																																	
Tissue.46	Small Intestine - Terminal Ileum	Small_Intestine_Terminal_Ileum	HP:0002244	Abnormality of the small intestine		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.47	Spleen	Spleen	HP:0001743	Abnormality of the spleen		HP:0002715	Abnormality of the immune system	immune system																																																	
Tissue.47	Spleen	Spleen	HP:0001743	Abnormality of the spleen		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.48	Stomach	Stomach	HP:0002577	Abnormality of the stomach		HP:0025031	Abnormality of the digestive system	digestive system																																																	
Tissue.49	Testis	Testis	HP:0000035	Abnormality of the testis		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.50	Thyroid	Thyroid	HP:0000820	Abnormality of the thyroid gland		HP:0000818	Abnormality of the endocrine system	endocrine system																																																	
Tissue.51	Uterus	Uterus	HP:0000130	Abnormality of the uterus		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.52	Vagina	Vagina	HP:0000142	Abnormality of the vagina		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.53	Whole Blood	Whole_Blood	HP:0001871	Abnormality of blood and blood-forming tissues		HP:0001871	Abnormality of blood and blood-forming tissues	blood and blood-forming tissues																																																	
Tissue.53	Whole Blood	Whole_Blood	HP:0001939	Abnormality of metabolism/homeostasis		HP:0001939	Abnormality of metabolism/homeostasis	metabolism/homeostasis																																																	
																																																									
