query	match
HGNC:2172	MGI:104518
HGNC:3498	MGI:95457
HGNC:18000	MGI:2156864
HGNC:9667	MGI:97811
HGNC:16859	MGI:1917979
HGNC:67	MGI:1349216
HGNC:7692	MGI:1915625
HGNC:20488	MGI:1914467
HGNC:32958	MGI:1925338
HGNC:25481	MGI:1919276
HGNC:29152	MGI:1922248
HGNC:11193	MGI:98362
HGNC:5104	MGI:96175
HGNC:29420	MGI:1914860
HGNC:5106	MGI:96177
HGNC:13741	MGI:1919541
HGNC:23098	MGI:1914779
HGNC:19767	MGI:1926160
HGNC:30774	MGI:2679630
HGNC:14088	MGI:1927469
HGNC:24438	MGI:1931556
HGNC:40041	MGI:1916599
HGNC:18653	MGI:2686922
HGNC:6822	MGI:104676
HGNC:14056	MGI:1351622
HGNC:10701	MGI:1349635
HGNC:23190	MGI:1916259
HGNC:6967	MGI:107687
HGNC:5108	MGI:96179
HGNC:5105	MGI:96176
HGNC:29856	MGI:1919637
HGNC:24255	MGI:1914473
HGNC:5103	MGI:96174
HGNC:17007	MGI:1927168
HGNC:6757	MGI:1333773
HGNC:16491	MGI:1889507
HGNC:28635	MGI:2443336
HGNC:25252	MGI:2443024
HGNC:6685	MGI:1891259
HGNC:19991	MGI:2676315
HGNC:10437	MGI:1927343
HGNC:14360	MGI:1197522
HGNC:7029	MGI:96969
HGNC:28184	MGI:1913348
HGNC:29046	MGI:1261890
HGNC:17804	MGI:1197006
HGNC:17841	MGI:1922745
HGNC:9402	MGI:97597
HGNC:25364	MGI:1924237
HGNC:5107	MGI:96178
HGNC:16634	MGI:1338046
HGNC:10805	MGI:894698
HGNC:24027	MGI:1920610
HGNC:15474	MGI:3613677
HGNC:27648	MGI:1924175
HGNC:10897	MGI:106203
HGNC:20763	MGI:1337008
HGNC:13291	MGI:1890602
HGNC:21385	MGI:1916769
HGNC:7883	MGI:99460
HGNC:19698	MGI:2670981
HGNC:28642	MGI:1920340
HGNC:304	MGI:1925331
HGNC:10441	MGI:98166
HGNC:25200	MGI:2684975
HGNC:20774	MGI:107848
HGNC:20596	MGI:1929651
HGNC:13192	MGI:99470
HGNC:10924	MGI:1933438
HGNC:6553	MGI:104663
HGNC:20959	MGI:1925212
HGNC:10981	MGI:1915113
HGNC:24119	MGI:104966
HGNC:19839	MGI:2442579
HGNC:29529	MGI:2441730
HGNC:28407	MGI:2443596
HGNC:30187	MGI:1914745
HGNC:29286	MGI:2444277
HGNC:4402	MGI:1336169
HGNC:4474	MGI:1096320
HGNC:30685	MGI:105968
HGNC:13041	MGI:1919970
HGNC:14342	MGI:1925911
HGNC:4912	MGI:1321133
HGNC:18336	MGI:2145902
HGNC:6637	MGI:96795
HGNC:14244	MGI:102790
HGNC:24852	MGI:1926066
HGNC:19660	MGI:2442595
HGNC:11717	MGI:106907
HGNC:13205	MGI:2144047
HGNC:28970	MGI:1923990
HGNC:11939	MGI:1101058
HGNC:25121	MGI:1913301
HGNC:2986	MGI:1100497
HGNC:1873	MGI:1344403
HGNC:22207	MGI:2685683
HGNC:2954	MGI:1916172
HGNC:21052	MGI:1914239
HGNC:492	MGI:88024
HGNC:53786	MGI:1913751
HGNC:29369	MGI:2442456
HGNC:19768	MGI:2654437
HGNC:27564	MGI:1918526
HGNC:12016	MGI:102724
HGNC:24790	MGI:1918934
HGNC:18357	MGI:2445175
HGNC:3173	MGI:1329025
HGNC:30743	MGI:1855696
HGNC:6133	MGI:1349645
HGNC:5767	MGI:5009884
HGNC:25229	MGI:1917573
HGNC:18327	MGI:1913340
HGNC:5381	MGI:96412
HGNC:26104	MGI:2152337
HGNC:24500	MGI:1913435
HGNC:13879	MGI:1914674
HGNC:12936	MGI:107410
HGNC:30762	MGI:2441678
HGNC:26220	MGI:2143057
HGNC:23408	MGI:1289238
HGNC:11712	MGI:1933218
HGNC:17325	MGI:1929093
HGNC:16016	MGI:2152907
HGNC:6204	MGI:96646
HGNC:20376	MGI:1889844
HGNC:13877	MGI:2157091
HGNC:961	MGI:1353499
HGNC:23484	MGI:2145274
HGNC:23760	MGI:1919182
HGNC:15713	MGI:1929722
HGNC:11578	MGI:1889508
HGNC:24838	MGI:1916888
HGNC:37234	MGI:2685024
HGNC:32669	MGI:2685973
HGNC:11872	MGI:1355335
HGNC:25849	MGI:1919266
HGNC:19972	MGI:2136957
HGNC:21298	MGI:1926144
HGNC:9965	MGI:2683486
HGNC:26368	MGI:3045334
HGNC:14046	MGI:1913542
HGNC:18884	MGI:1920036
HGNC:26258	MGI:2385885
HGNC:27465	MGI:1915994
HGNC:45	MGI:97569
HGNC:8011	MGI:1858201
HGNC:3661	MGI:1316726
HGNC:11406	MGI:1928487
HGNC:2753	MGI:1914710
HGNC:10751	MGI:894288
HGNC:30390	MGI:1918857
HGNC:21427	MGI:2441680
HGNC:24168	MGI:1916371
HGNC:13626	MGI:1932374
HGNC:17035	MGI:1916889
HGNC:11788	MGI:1101779
HGNC:10847	MGI:1354698
HGNC:29567	MGI:2385656
HGNC:4545	MGI:1347078
HGNC:24666	MGI:1923827
HGNC:16507	MGI:1919253
HGNC:11546	MGI:1913500
HGNC:32371	MGI:1914270
HGNC:14870	MGI:1919189
HGNC:28460	MGI:2387601
HGNC:11504	MGI:1201671
HGNC:30322	MGI:1346016
HGNC:16922	MGI:2653690
HGNC:25581	MGI:1913894
HGNC:11429	MGI:1921982
HGNC:5041	MGI:1891925
HGNC:23749	MGI:1919199
HGNC:17027	MGI:1919722
HGNC:14672	MGI:1860775
HGNC:11444	MGI:107363
HGNC:2171	MGI:105980
HGNC:9298	MGI:2387581
HGNC:8881	MGI:97549
HGNC:1759	MGI:88355
HGNC:684	MGI:2442507
HGNC:24636	MGI:1920992
HGNC:16942	MGI:1349436
HGNC:23817	MGI:1926143
HGNC:17575	MGI:1891706
HGNC:4555	MGI:105102
HGNC:18015	MGI:1355292
HGNC:24812	MGI:2686040
HGNC:7881	MGI:97363
HGNC:7659	MGI:1915342
HGNC:8050	MGI:1928484
HGNC:10487	MGI:1339468
HGNC:11469	MGI:1202400
HGNC:25032	MGI:2657115
HGNC:1349	MGI:1343184
HGNC:7682	MGI:1932544
HGNC:23621	MGI:1922035
HGNC:48329	MGI:3643379
HGNC:28144	MGI:1917403
HGNC:14251	MGI:1924059
HGNC:9346	MGI:99655
HGNC:4623	MGI:95804
HGNC:19125	MGI:2183747
HGNC:9391	MGI:108025
HGNC:9035	MGI:1195256
HGNC:25220	MGI:1916421
HGNC:31865	MGI:1915871
HGNC:27405	MGI:2148811
HGNC:13628	MGI:1932376
HGNC:27016	MGI:2448487
HGNC:28212	MGI:1925554
HGNC:11067	MGI:1353656
HGNC:5177	MGI:2443267
HGNC:19833	MGI:1917861
HGNC:34438	MGI:3641617
HGNC:25619	MGI:2444496
HGNC:23236	MGI:2141207
HGNC:11623	MGI:101877
HGNC:10789	MGI:1926232
HGNC:21215	MGI:106281
HGNC:6915	MGI:96922
HGNC:28073	MGI:2140729
HGNC:18156	MGI:1913736
HGNC:663	MGI:88070
HGNC:26105	MGI:2384950
HGNC:26335	MGI:2685122
HGNC:29478	MGI:1913299
HGNC:9119	MGI:1920328
HGNC:24544	MGI:1917760
HGNC:8514	MGI:106925
HGNC:20338	MGI:2444298
HGNC:17843	MGI:2151797
HGNC:29182	MGI:2384878
HGNC:21216	MGI:3041238
HGNC:26510	MGI:1919348
HGNC:24811	MGI:1919849
HGNC:11273	MGI:98386
HGNC:5026	MGI:1353604
HGNC:20232	MGI:2447460
HGNC:6353	MGI:1924363
HGNC:10385	MGI:98105
HGNC:17257	MGI:1353422
HGNC:8030	MGI:1341188
HGNC:29088	MGI:1918771
HGNC:25758	MGI:2145443
HGNC:6071	MGI:104848
HGNC:13630	MGI:1916964
HGNC:30939	MGI:2137668
HGNC:33758	MGI:1919264
HGNC:19354	MGI:107158
HGNC:11930	MGI:1355317
HGNC:14450	MGI:1891341
HGNC:11898	MGI:1195266
HGNC:3149	MGI:1858208
HGNC:6200	MGI:1924782
HGNC:25499	MGI:1915019
HGNC:29509	MGI:2385110
HGNC:21071	MGI:1917587
HGNC:10405	MGI:1914677
HGNC:28405	MGI:2385262
HGNC:18599	MGI:1921487
HGNC:15103	MGI:3030106
HGNC:16287	MGI:1913290
HGNC:7777	MGI:103296
HGNC:7652	MGI:1351625
HGNC:6480	MGI:96742
HGNC:9500	MGI:1919623
HGNC:4848	MGI:2385650
HGNC:10896	MGI:98310
HGNC:29144	MGI:2667252
HGNC:2444	MGI:88537
HGNC:17282	MGI:2152971
HGNC:33842	MGI:2181621
HGNC:27880	MGI:1915673
HGNC:10808	MGI:1329042
HGNC:21869	MGI:1917173
HGNC:21696	MGI:1926079
HGNC:29560	MGI:1925112
HGNC:7854	MGI:1928368
HGNC:11955	MGI:2443203
HGNC:23419	MGI:1919570
HGNC:2410	MGI:88523
HGNC:2408	MGI:88521
HGNC:9645	MGI:104673
HGNC:240	MGI:108450
HGNC:25897	MGI:1923824
HGNC:9386	MGI:1336153
HGNC:3037	MGI:1194993
HGNC:3293	MGI:1914440
HGNC:18065	MGI:2156765
HGNC:18076	MGI:1929500
HGNC:21898	MGI:1919899
HGNC:11629	MGI:103180
HGNC:26958	MGI:2442558
HGNC:26091	MGI:1915510
HGNC:10967	MGI:1333817
HGNC:6199	MGI:106214
HGNC:1391	MGI:88293
HGNC:2768	MGI:1926209
HGNC:14085	MGI:1915835
HGNC:3443	MGI:107508
HGNC:29851	MGI:2684414
HGNC:16446	MGI:2386258
HGNC:7578	MGI:1339712
HGNC:40048	MGI:1915975
HGNC:7049	MGI:894701
HGNC:18091	MGI:1924923
HGNC:15038	MGI:3030300
HGNC:1177	MGI:1352481
HGNC:23085	MGI:2673998
HGNC:13575	MGI:1888520
HGNC:5969	MGI:96539
HGNC:6399	MGI:1100836
HGNC:15239	MGI:3030526
HGNC:6050	MGI:1933158
HGNC:10296	MGI:1923492
HGNC:14209	MGI:1921283
HGNC:28006	MGI:1913390
HGNC:7571	MGI:1339967
HGNC:28194	MGI:1915329
HGNC:23148	MGI:2685422
HGNC:4801	MGI:2135593
HGNC:11806	MGI:1344338
HGNC:17142	MGI:1918898
HGNC:17412	MGI:1930088
HGNC:8778	MGI:1860764
HGNC:25846	MGI:1913444
HGNC:8619	MGI:97489
HGNC:9717	MGI:107486
HGNC:28371	MGI:2443503
HGNC:17470	MGI:1919170
HGNC:5109	MGI:96180
HGNC:2600	MGI:88591
HGNC:26735	MGI:2447024
HGNC:28705	MGI:1923816
HGNC:6983	MGI:97043
HGNC:29123	MGI:1933196
HGNC:10263	MGI:1341105
HGNC:30660	MGI:1929264
HGNC:24170	MGI:1915082
HGNC:26940	MGI:1914924
HGNC:7842	MGI:1915289
HGNC:9656	MGI:1099792
HGNC:16066	MGI:1913440
HGNC:2244	MGI:107207
HGNC:19129	MGI:2183441
HGNC:21024	MGI:1913765
HGNC:25378	MGI:1921599
HGNC:25067	MGI:1919043
HGNC:25589	MGI:1277214
HGNC:12737	MGI:104710
HGNC:4186	MGI:95668
HGNC:10904	MGI:108402
HGNC:12647	MGI:1336882
HGNC:4195	MGI:1270854
HGNC:20667	MGI:2386711
HGNC:5000	MGI:96157
HGNC:10020	MGI:1891456
HGNC:25308	MGI:2444580
HGNC:8792	MGI:1352752
HGNC:10737	MGI:107555
HGNC:12630	MGI:2182061
HGNC:3573	MGI:109324
HGNC:20360	MGI:2144814
HGNC:27312	MGI:2384945
HGNC:12473	MGI:102944
HGNC:25257	MGI:2387176
HGNC:21083	MGI:1913375
HGNC:17597	MGI:1347351
HGNC:12962	MGI:1337056
HGNC:3763	MGI:95558
HGNC:21378	MGI:1917405
HGNC:22948	MGI:3041206
HGNC:28541	MGI:3643909
HGNC:22407	MGI:1919150
HGNC:19018	MGI:1918187
HGNC:18746	MGI:1930923
HGNC:24059	MGI:2385221
HGNC:409	MGI:1861722
HGNC:2380	MGI:1337006
HGNC:5980	MGI:1270855
HGNC:22963	MGI:1344385
HGNC:3597	MGI:102547
HGNC:24765	MGI:3036237
HGNC:2409	MGI:88522
HGNC:34301	MGI:1921935
HGNC:9319	MGI:1891763
HGNC:28850	MGI:2443855
HGNC:26945	MGI:1916686
HGNC:15207	MGI:3030525
HGNC:6172	MGI:105124
HGNC:15519	MGI:1334460
HGNC:1121	MGI:99439
HGNC:7594	MGI:1261811
HGNC:7668	MGI:1276523
HGNC:19423	MGI:107307
HGNC:24022	MGI:1923902
HGNC:20331	MGI:1197013
HGNC:31793	MGI:1915144
HGNC:19770	MGI:2655109
HGNC:3686	MGI:99604
HGNC:27172	MGI:2685290
HGNC:25203	MGI:1922118
HGNC:18084	MGI:2181407
HGNC:21916	MGI:3583959
HGNC:30300	MGI:1917493
HGNC:26183	MGI:1926021
HGNC:9405	MGI:108022
HGNC:28835	MGI:2685948
HGNC:25204	MGI:2681861
HGNC:12000	MGI:2138319
HGNC:24862	MGI:1929872
HGNC:5331	MGI:2429397
HGNC:4494	MGI:1313297
HGNC:6648	MGI:2135672
HGNC:6286	MGI:1919663
HGNC:30009	MGI:1915148
HGNC:21769	MGI:1918985
HGNC:33800	MGI:1921480
HGNC:33194	MGI:108013
HGNC:6548	MGI:2685212
HGNC:21625	MGI:2142149
HGNC:26960	MGI:1921267
HGNC:5989	MGI:1338888
HGNC:8507	MGI:1330819
HGNC:6735	MGI:96892
HGNC:12620	MGI:1353665
HGNC:37250	MGI:2442280
HGNC:9395	MGI:97596
HGNC:381	MGI:1353494
HGNC:10699	MGI:1915065
HGNC:851	MGI:1201780
HGNC:17036	MGI:1328308
HGNC:11592	MGI:98493
HGNC:26349	MGI:3045340
HGNC:30661	MGI:1858313
HGNC:2295	MGI:88476
HGNC:10560	MGI:2179277
HGNC:20134	MGI:1920296
HGNC:4839	MGI:105942
HGNC:4851	MGI:96067
HGNC:16638	MGI:1858303
HGNC:19181	MGI:1098226
HGNC:12646	MGI:1858622
HGNC:7199	MGI:97052
HGNC:2974	MGI:109547
HGNC:6108	MGI:96581
HGNC:2016	MGI:2139758
HGNC:29656	MGI:1925301
HGNC:27619	MGI:2442268
HGNC:4047	MGI:1313278
HGNC:9984	MGI:106582
HGNC:29141	MGI:2139593
HGNC:23729	MGI:2687286
HGNC:19070	MGI:1919668
HGNC:26511	MGI:2685325
HGNC:15581	MGI:2153466
HGNC:28065	MGI:3645398
HGNC:26946	MGI:1913367
HGNC:11543	MGI:1346320
HGNC:10396	MGI:98118
HGNC:3662	MGI:99501
HGNC:19425	MGI:1918944
HGNC:6284	MGI:99923
HGNC:1515	MGI:1098236
HGNC:27257	MGI:2442416
HGNC:1742	MGI:1933162
HGNC:17084	MGI:2449316
HGNC:28873	MGI:3039619
HGNC:2366	MGI:1921364
HGNC:10007	MGI:2384891
HGNC:12612	MGI:1928898
HGNC:6679	MGI:2441849
HGNC:29960	MGI:2179720
HGNC:1240	MGI:2138346
HGNC:12716	MGI:1341787
HGNC:17280	MGI:2154278
HGNC:28119	MGI:1917656
HGNC:21754	MGI:2673965
HGNC:24927	MGI:1917511
HGNC:28998	MGI:2140972
HGNC:19861	MGI:2442408
HGNC:17718	MGI:1929464
HGNC:28450	MGI:2388278
HGNC:10421	MGI:1202063
HGNC:5988	MGI:105383
HGNC:26535	MGI:2140313
HGNC:9547	MGI:106054
HGNC:11524	MGI:1341163
HGNC:6565	MGI:107536
HGNC:28629	MGI:1915402
HGNC:15955	MGI:104745
HGNC:21863	MGI:2655711
HGNC:21253	MGI:1915382
HGNC:13872	MGI:2444879
HGNC:5323	MGI:1924292
HGNC:1318	MGI:88227
HGNC:13195	MGI:1289227
HGNC:20449	MGI:2655198
HGNC:19679	MGI:1098687
HGNC:44112	MGI:3647581
HGNC:29012	MGI:2448492
HGNC:2336	MGI:88489
HGNC:42973	MGI:1919882
HGNC:18094	MGI:3648148
HGNC:21577	MGI:2145261
HGNC:9355	MGI:1859821
HGNC:1389	MGI:88296
HGNC:13403	MGI:1931321
HGNC:17939	MGI:2653235
HGNC:6040	MGI:1195267
HGNC:3471	MGI:1346831
HGNC:19098	MGI:1919223
HGNC:13625	MGI:1859168
HGNC:25806	MGI:1914803
HGNC:11743	MGI:104672
HGNC:633	MGI:103201
HGNC:11937	MGI:1195273
HGNC:33234	MGI:1922910
HGNC:15719	MGI:2681862
HGNC:28224	MGI:1925831
HGNC:25588	MGI:1914723
HGNC:27038	MGI:2135945
HGNC:7751	MGI:1858510
HGNC:603	MGI:88052
HGNC:7464	MGI:2181726
HGNC:12587	MGI:1913944
HGNC:218	MGI:1347356
HGNC:4227	MGI:99845
HGNC:18539	MGI:1930705
HGNC:37279	MGI:2442812
HGNC:28445	MGI:1917002
HGNC:1490	MGI:106222
HGNC:11295	MGI:2146620
HGNC:18745	MGI:2135610
HGNC:1099	MGI:1919649
HGNC:12014	MGI:98812
HGNC:18655	MGI:3617848
HGNC:27087	MGI:2446240
HGNC:14281	MGI:1889506
HGNC:22009	MGI:2443880
HGNC:16692	MGI:1860083
HGNC:9593	MGI:97793
HGNC:14695	MGI:3030104
HGNC:21061	MGI:2447813
HGNC:18744	MGI:2685574
HGNC:24711	MGI:1922925
HGNC:4440	MGI:107852
HGNC:30696	MGI:1917819
HGNC:30071	MGI:2140475
HGNC:21719	MGI:107495
HGNC:25852	MGI:1924116
HGNC:23112	MGI:2444314
HGNC:26495	MGI:1916437
HGNC:5985	MGI:107399
HGNC:21037	MGI:3643810
HGNC:30545	MGI:1261797
HGNC:44197	MGI:1922979
HGNC:33741	MGI:2684990
HGNC:17023	MGI:1923091
HGNC:22981	MGI:2685251
HGNC:9089	MGI:1858197
HGNC:14683	MGI:1916863
HGNC:17245	MGI:3045348
HGNC:17298	MGI:1913903
HGNC:23502	MGI:2442509
HGNC:21099	MGI:1914895
HGNC:28728	MGI:2443667
HGNC:6275	MGI:2384976
HGNC:19177	MGI:2447165
HGNC:27364	MGI:2141520
HGNC:7686	MGI:1913341
HGNC:18173	MGI:1933403
HGNC:29326	MGI:3040688
HGNC:13839	MGI:1917943
HGNC:25380	MGI:1919410
HGNC:1077	MGI:107191
HGNC:1394	MGI:1201678
HGNC:20313	MGI:2183153
HGNC:2584	MGI:1921506
HGNC:10532	MGI:1929129
HGNC:29874	MGI:1913481
HGNC:5382	MGI:96413
HGNC:18368	MGI:1338898
HGNC:4236	MGI:107757
HGNC:16088	MGI:2137680
HGNC:30635	MGI:1341157
HGNC:25137	MGI:1915616
HGNC:28459	MGI:1919303
HGNC:37501	MGI:5141968
HGNC:14885	MGI:1927638
HGNC:222	MGI:1347348
HGNC:7060	MGI:96976
HGNC:6856	MGI:1346875
HGNC:30301	MGI:2148802
HGNC:648	MGI:88067
HGNC:37280	MGI:2141677
HGNC:1777	MGI:1277162
HGNC:9200	MGI:1915843
HGNC:12658	MGI:102718
HGNC:29030	MGI:1914251
HGNC:11439	MGI:893577
HGNC:6004	MGI:2143266
HGNC:14305	MGI:1923719
HGNC:13411	MGI:1916020
HGNC:2452	MGI:1355272
HGNC:15574	MGI:1341850
HGNC:10818	MGI:1350341
HGNC:11367	MGI:103035
HGNC:21250	MGI:2685595
HGNC:28952	MGI:2142989
HGNC:15022	MGI:3030299
HGNC:2400	MGI:102717
HGNC:9811	MGI:108016
HGNC:19760	MGI:2429762
HGNC:30189	MGI:1306825
HGNC:9164	MGI:1195461
HGNC:11466	MGI:1923723
HGNC:7704	MGI:1913468
HGNC:13345	MGI:1891340
HGNC:1850	MGI:1100883
HGNC:17894	MGI:1203484
HGNC:26152	MGI:1924661
HGNC:14438	MGI:1920713
HGNC:11531	MGI:2144471
HGNC:4129	MGI:1349449
HGNC:1355	MGI:2384798
HGNC:29394	MGI:3528744
HGNC:4595	MGI:1351340
HGNC:29635	MGI:1920951
HGNC:32322	MGI:102934
HGNC:17849	MGI:1925810
HGNC:29253	MGI:1924487
HGNC:11605	MGI:102539
HGNC:15597	MGI:2153839
HGNC:14952	MGI:1923392
HGNC:10472	MGI:99829
HGNC:25042	MGI:3027390
HGNC:4651	MGI:1915403
HGNC:29044	MGI:2446201
HGNC:2015	MGI:1346342
HGNC:651	MGI:88068
HGNC:12735	MGI:1920428
HGNC:3123	MGI:1859920
HGNC:11515	MGI:98472
HGNC:17372	MGI:1891654
HGNC:2085	MGI:88421
HGNC:17195	MGI:1859515
HGNC:35412	MGI:2442895
HGNC:7555	MGI:96799
HGNC:12003	MGI:1336991
HGNC:5951	MGI:1889272
HGNC:13043	MGI:99210
HGNC:20387	MGI:1098233
HGNC:377	MGI:1859150
HGNC:34388	MGI:1917363
HGNC:8516	MGI:1202064
HGNC:17182	MGI:2152835
HGNC:4421	MGI:95790
HGNC:25184	MGI:1921967
HGNC:5100	MGI:96171
HGNC:4247	MGI:1927655
HGNC:1372	MGI:1344341
HGNC:21931	MGI:2444236
HGNC:16628	MGI:2387188
HGNC:11177	MGI:104665
HGNC:23571	MGI:2442894
HGNC:33706	MGI:3045373
HGNC:33720	MGI:2684947
HGNC:26307	MGI:3605542
HGNC:28571	MGI:1917332
HGNC:3506	MGI:95461
HGNC:29296	MGI:1922422
HGNC:4249	MGI:1341724
HGNC:14979	MGI:2387801
HGNC:17199	MGI:1930025
HGNC:24605	MGI:95459
HGNC:3035	MGI:109173
HGNC:8883	MGI:894318
HGNC:26498	MGI:2141255
HGNC:21785	MGI:2442653
HGNC:6139	MGI:96602
HGNC:16963	MGI:1915691
HGNC:11077	MGI:105074
HGNC:23530	MGI:1351623
HGNC:15108	MGI:1860080
HGNC:25402	MGI:1859615
HGNC:4458	MGI:95797
HGNC:28953	MGI:1921408
HGNC:2681	MGI:1197015
HGNC:23066	MGI:1925482
HGNC:23219	MGI:2685867
HGNC:10302	MGI:98002
HGNC:14524	MGI:1918084
HGNC:30244	MGI:1315211
HGNC:1739	MGI:1338073
HGNC:2959	MGI:1314633
HGNC:18481	MGI:104855
HGNC:575	MGI:1337065
HGNC:13208	MGI:1915808
HGNC:26941	MGI:1913405
HGNC:18035	MGI:1919455
HGNC:6904	MGI:2443731
HGNC:28326	MGI:1917701
HGNC:957	MGI:1917600
HGNC:11848	MGI:1346060
HGNC:20304	MGI:4937089
HGNC:14910	MGI:3606604
HGNC:16687	MGI:1921453
HGNC:7898	MGI:2685089
HGNC:21374	MGI:2385053
HGNC:3675	MGI:1096383
HGNC:10547	MGI:1353611
HGNC:16903	MGI:1926194
HGNC:29565	MGI:1914093
HGNC:28018	MGI:2444671
HGNC:14134	MGI:1349391
HGNC:14035	MGI:2137226
HGNC:3656	MGI:1919192
HGNC:17194	MGI:1914434
HGNC:19341	MGI:2442190
HGNC:28398	MGI:3584453
HGNC:563	MGI:1919020
HGNC:25278	MGI:3045311
HGNC:7858	MGI:1202298
HGNC:3973	MGI:1890391
HGNC:679	MGI:101940
HGNC:26611	MGI:3647820
HGNC:9755	MGI:1914625
HGNC:9258	MGI:1917118
HGNC:23804	MGI:1916189
HGNC:20779	MGI:1932545
HGNC:20804	MGI:1916463
HGNC:4234	MGI:99844
HGNC:11185	MGI:1202296
HGNC:1346	MGI:88235
HGNC:3260	MGI:95300
HGNC:13819	MGI:1889679
HGNC:23000	MGI:2443317
HGNC:1593	MGI:1095734
HGNC:14899	MGI:2179942
HGNC:17442	MGI:1924954
HGNC:25135	MGI:2684789
HGNC:29634	MGI:2685177
HGNC:30961	MGI:1916286
HGNC:17851	MGI:1888981
