Marker.Symbol	MGI.Accession.ID	Gene.ID
1600014C10Rik	MGI:1919494	ENSMUSG00000054676
1600014C23Rik	MGI:1919490	ENSMUSG00000094690
1600015I10Rik	MGI:1917011	ENSMUSG00000029813
1700001C02Rik	MGI:1922684	ENSMUSG00000029182
1700001C19Rik	MGI:1922712	ENSMUSG00000047150
1700001J03Rik	MGI:1916532	ENSMUSG00000095040
1700001K19Rik	MGI:1913573	ENSMUSG00000056508
1700001L19Rik	MGI:1916565	ENSMUSG00000021534
1700001O22Rik	MGI:1923631	ENSMUSG00000044320
1700001P01Rik	MGI:1919465	ENSMUSG00000018543
1700003E16Rik	MGI:1919087	ENSMUSG00000030030
1700003F12Rik	MGI:1922730	ENSMUSG00000038523
1700006E09Rik	MGI:1922687	ENSMUSG00000010841
1700007G11Rik	MGI:1916571	ENSMUSG00000057816
1700007K09Rik	MGI:1916568	ENSMUSG00000030858
1700007K13Rik	MGI:1916577	ENSMUSG00000026831
1700008O03Rik	MGI:1916599	ENSMUSG00000008028
1700009N14Rik	MGI:1922721	ENSMUSG00000028287
1700010B08Rik	MGI:1922735	ENSMUSG00000057047
1700010I14Rik	MGI:1914181	ENSMUSG00000023873
1700011H14Rik	MGI:1914332	ENSMUSG00000021850
1700011I03Rik	MGI:1922694	ENSMUSG00000058925
1700011L22Rik	MGI:1914937	ENSMUSG00000031682
1700012B09Rik	MGI:1916575	ENSMUSG00000031927
1700012P22Rik	MGI:1916614	ENSMUSG00000028589
1700013F07Rik	MGI:1922754	ENSMUSG00000027886
1700013H16Rik	MGI:1922764	ENSMUSG00000054727
1700014D04Rik	MGI:1921474	ENSMUSG00000051054
1700015F17Rik	MGI:2686532	ENSMUSG00000079666
1700016C15Rik	MGI:1916678	ENSMUSG00000015962
1700016D06Rik	MGI:1923663	ENSMUSG00000031509
1700016H13Rik	MGI:1921468	ENSMUSG00000029320
1700016K19Rik	MGI:1921480	ENSMUSG00000053783
1700017B05Rik	MGI:1921461	ENSMUSG00000032300
1700018B08Rik	MGI:1923655	ENSMUSG00000031809
1700019A02Rik	MGI:1916647	ENSMUSG00000060715
1700019D03Rik	MGI:1914330	ENSMUSG00000043629
1700019N19Rik	MGI:1914757	ENSMUSG00000026931
1700020A23Rik	MGI:1922906	ENSMUSG00000027409
1700020D05Rik	MGI:1922805	ENSMUSG00000100937
1700020L24Rik	MGI:1913580	ENSMUSG00000035085
1700020N01Rik	MGI:1914942	ENSMUSG00000050844
1700020N15Rik	MGI:1922759	ENSMUSG00000059690
1700021F05Rik	MGI:1915101	ENSMUSG00000019797
1700022I11Rik	MGI:1914567	ENSMUSG00000028451
1700023F06Rik	MGI:1916691	ENSMUSG00000020940
1700024B05Rik	MGI:1922768	ENSMUSG00000052334
1700024G13Rik	MGI:1914335	ENSMUSG00000072473
1700025G04Rik	MGI:1916649	ENSMUSG00000032666
1700028K03Rik	MGI:1923671	ENSMUSG00000089798
1700028P14Rik	MGI:1914733	ENSMUSG00000033053
1700029H14Rik	MGI:1913751	ENSMUSG00000031452
1700029I15Rik	MGI:1916742	ENSMUSG00000044916
1700029J07Rik	MGI:1916729	ENSMUSG00000071103
1700029P11Rik	MGI:1913596	ENSMUSG00000061633
1700030J22Rik	MGI:1916778	ENSMUSG00000031847
1700030K09Rik	MGI:1919504	ENSMUSG00000052794
1700034I23Rik	MGI:1920547	ENSMUSG00000074619
1700034J05Rik	MGI:1920594	ENSMUSG00000040163
1700037C18Rik	MGI:1920511	ENSMUSG00000005983
1700037H04Rik	MGI:1914576	ENSMUSG00000027327
1700047I17Rik2	MGI:3714351	ENSMUSG00000094103
1700057G04Rik	MGI:1925709	ENSMUSG00000074139
1700061G19Rik	MGI:1925875	ENSMUSG00000024209
1700064H15Rik	MGI:1920674	ENSMUSG00000082766
1700066B19Rik	MGI:1920699	ENSMUSG00000073598
1700066M21Rik	MGI:1920717	ENSMUSG00000038323
1700067K01Rik	MGI:1920703	ENSMUSG00000046408
1700086D15Rik	MGI:1921532	ENSMUSG00000020548
1700088E04Rik	MGI:1920774	ENSMUSG00000033029
1700092M07Rik	MGI:1921557	ENSMUSG00000090840
1700093K21Rik	MGI:1914608	ENSMUSG00000020286
1700102P08Rik	MGI:2148248	ENSMUSG00000032611
1700109H08Rik	MGI:1924286	ENSMUSG00000008307
1700113H08Rik	MGI:1923890	ENSMUSG00000047129
1700123K08Rik	MGI:1923908	ENSMUSG00000029526
1700123O20Rik	MGI:1920893	ENSMUSG00000040822
1700125H20Rik	MGI:1920884	ENSMUSG00000018479
1810009A15Rik	MGI:1913526	ENSMUSG00000071653
1810010H24Rik	MGI:1916316	ENSMUSG00000078607
1810011H11Rik	MGI:1916319	ENSMUSG00000041707
1810013L24Rik	MGI:1916303	ENSMUSG00000022507
1810022K09Rik	MGI:1916376	ENSMUSG00000078784
1810024B03Rik	MGI:1925560	ENSMUSG00000044145
1810030O07Rik	MGI:1916405	ENSMUSG00000044148
1810032O08Rik	MGI:1913543	ENSMUSG00000020812
1810037I17Rik	MGI:1914954	ENSMUSG00000054091
1810041L15Rik	MGI:1919551	ENSMUSG00000062760
1810043G02Rik	MGI:1915134	ENSMUSG00000020284
1810046K07Rik	MGI:1917059	ENSMUSG00000036027
1810049J17Rik	MGI:3704453	ENSMUSG00000097221
1810055G02Rik	MGI:1919306	ENSMUSG00000035372
1810062G17Rik	MGI:1919532	ENSMUSG00000027713
1810065E05Rik	MGI:1917114	ENSMUSG00000013653
2010003K11Rik	MGI:1917111	ENSMUSG00000042041
2010005H15Rik	MGI:1924020	ENSMUSG00000095620
2010107E04Rik	MGI:1917507	ENSMUSG00000021290
2010109A12Rik	MGI:1922860	ENSMUSG00000029384
2010109I03Rik	MGI:1914288	ENSMUSG00000063522
2010111I01Rik	MGI:1919311	ENSMUSG00000021458
2010300C02Rik	MGI:1919347	ENSMUSG00000026090
2010315B03Rik	MGI:1919321	ENSMUSG00000074829
2200002D01Rik	MGI:1919525	ENSMUSG00000030587
2210010C04Rik	MGI:1914623	ENSMUSG00000029882
2210011C24Rik	MGI:1917384	ENSMUSG00000074217
2210016F16Rik	MGI:1917403	ENSMUSG00000021550
2210016L21Rik	MGI:1919607	ENSMUSG00000029559
2210408I21Rik	MGI:1919621	ENSMUSG00000071252
2210418O10Rik	MGI:1924208	ENSMUSG00000078894
2300009A05Rik	MGI:1916728	ENSMUSG00000032403
2310002L09Rik	MGI:1916780	ENSMUSG00000028396
2310007B03Rik	MGI:1919124	ENSMUSG00000034159
2310009B15Rik	MGI:1916799	ENSMUSG00000079283
2310011J03Rik	MGI:1913624	ENSMUSG00000020133
2310022A10Rik	MGI:1913617	ENSMUSG00000049643
2310022B05Rik	MGI:1916801	ENSMUSG00000031983
2310030G06Rik	MGI:1914202	ENSMUSG00000032062
2310033P09Rik	MGI:1915112	ENSMUSG00000020441
2310035C23Rik	MGI:1922832	ENSMUSG00000026319
2310039H08Rik	MGI:1914351	ENSMUSG00000062619
2310057M21Rik	MGI:1915527	ENSMUSG00000040177
2310061I04Rik	MGI:1916912	ENSMUSG00000050705
2410002F23Rik	MGI:1914226	ENSMUSG00000045411
2410004B18Rik	MGI:1913671	ENSMUSG00000036873
2410004P03Rik	MGI:1920917	ENSMUSG00000071398
2410015M20Rik	MGI:2442174	ENSMUSG00000049760
2410089E03Rik	MGI:1920942	ENSMUSG00000039801
2410131K14Rik	MGI:1924042	ENSMUSG00000032840
2410137M14Rik	MGI:1924047	ENSMUSG00000064308
2410141K09Rik	MGI:1924053	ENSMUSG00000074832
2510002D24Rik	MGI:1919557	ENSMUSG00000071632
2510009E07Rik	MGI:1919440	ENSMUSG00000043391
2510039O18Rik	MGI:1924284	ENSMUSG00000044496
2610001J05Rik	MGI:1913770	ENSMUSG00000052419
2610002M06Rik	MGI:1914278	ENSMUSG00000031242
2610008E11Rik	MGI:1919378	ENSMUSG00000060301
2610021A01Rik	MGI:1922662	ENSMUSG00000091474
2610028H24Rik	MGI:1924214	ENSMUSG00000009114
2610042L04Rik	MGI:1914305	ENSMUSG00000079388
2610044O15Rik8	MGI:1919389	ENSMUSG00000071302
2610301B20Rik	MGI:1914407	ENSMUSG00000059482
2610318N02Rik	MGI:1917708	ENSMUSG00000049916
2610507B11Rik	MGI:1919753	ENSMUSG00000010277
2610524H06Rik	MGI:2447819	ENSMUSG00000092486
2610528A11Rik	MGI:1917295	ENSMUSG00000096001
2610528J11Rik	MGI:1913701	ENSMUSG00000028536
2700049A03Rik	MGI:1924217	ENSMUSG00000034601
2700062C07Rik	MGI:1915296	ENSMUSG00000024273
2700081O15Rik	MGI:1919667	ENSMUSG00000053080
2700097O09Rik	MGI:1919908	ENSMUSG00000062198
2810004N23Rik	MGI:1913773	ENSMUSG00000031984
2810006K23Rik	MGI:1919900	ENSMUSG00000047635
2810021J22Rik	MGI:1917194	ENSMUSG00000020491
2810403A07Rik	MGI:1921450	ENSMUSG00000028060
2810408A11Rik	MGI:1917669	ENSMUSG00000018570
2810459M11Rik	MGI:1920042	ENSMUSG00000026227
2810474O19Rik	MGI:1914496	ENSMUSG00000032712
2900011O08Rik	MGI:1914504	ENSMUSG00000044117
2900026A02Rik	MGI:1920194	ENSMUSG00000051339
2900092C05Rik	MGI:1920340	ENSMUSG00000030385
3110001I22Rik	MGI:1913848	ENSMUSG00000079737
3110002H16Rik	MGI:1916528	ENSMUSG00000024410
3110009E18Rik	MGI:1920353	ENSMUSG00000026388
3110021N24Rik	MGI:1920383	ENSMUSG00000094958
3110035E14Rik	MGI:1924232	ENSMUSG00000067879
3110040N11Rik	MGI:1914540	ENSMUSG00000025102
3110043O21Rik	MGI:1920455	ENSMUSG00000028300
3110062M04Rik	MGI:1925662	ENSMUSG00000046806
3110079O15Rik	MGI:1920484	ENSMUSG00000026258
3110082I17Rik	MGI:1920462	ENSMUSG00000053553
3110082J24Rik	MGI:3641994	ENSMUSG00000086815
3300002I08Rik	MGI:1916527	ENSMUSG00000063364
3425401B19Rik	MGI:3588196	ENSMUSG00000071540
3632451O06Rik	MGI:1914669	ENSMUSG00000036242
3830403N18Rik	MGI:1917941	ENSMUSG00000031125
3830406C13Rik	MGI:1917937	ENSMUSG00000033111
3830417A13Rik	MGI:1917946	ENSMUSG00000031179
4430402I18Rik	MGI:1918036	ENSMUSG00000064202
4833420G17Rik	MGI:1914642	ENSMUSG00000062822
4833423E24Rik	MGI:2687041	ENSMUSG00000075217
4833427G06Rik	MGI:1921013	ENSMUSG00000032057
4833439L19Rik	MGI:1921162	ENSMUSG00000025871
4921504E06Rik	MGI:1918087	ENSMUSG00000026734
4921507P07Rik	MGI:1918071	ENSMUSG00000029828
4921524J17Rik	MGI:1913964	ENSMUSG00000036934
4921536K21Rik	MGI:1914680	ENSMUSG00000020434
4930402H24Rik	MGI:1923029	ENSMUSG00000027309
4930404H24Rik	MGI:1925401	ENSMUSG00000079001
4930404N11Rik	MGI:1921072	ENSMUSG00000020234
4930408O17Rik	MGI:1921178	ENSMUSG00000021101
4930412O13Rik	MGI:1921185	ENSMUSG00000025783
4930415O20Rik	MGI:1921113	ENSMUSG00000022993
4930430F08Rik	MGI:1921197	ENSMUSG00000046567
4930432K21Rik	MGI:1921916	ENSMUSG00000008129
4930438A08Rik	MGI:1921238	ENSMUSG00000069873
4930444G20Rik	MGI:2149738	ENSMUSG00000069712
4930444P10Rik	MGI:1923049	ENSMUSG00000067795
4930447A16Rik	MGI:1922142	ENSMUSG00000022288
4930447C04Rik	MGI:1923051	ENSMUSG00000021098
4930449I04Rik	MGI:1921205	ENSMUSG00000105459
4930451G09Rik	MGI:1921934	ENSMUSG00000022543
4930452B06Rik	MGI:1926154	ENSMUSG00000021747
4930453N24Rik	MGI:1914859	ENSMUSG00000059920
4930486L24Rik	MGI:1922258	ENSMUSG00000050345
4930502E18Rik	MGI:1922263	ENSMUSG00000055555
4930503B20Rik	MGI:1922264	ENSMUSG00000090202
4930503L19Rik	MGI:1922045	ENSMUSG00000044906
4930505A04Rik	MGI:1922337	ENSMUSG00000040919
4930512M02Rik	MGI:1922360	ENSMUSG00000062511
4930519P11Rik	MGI:1921971	ENSMUSG00000097602
4930522L14Rik	MGI:1925270	ENSMUSG00000072762
4930524B15Rik	MGI:1914842	ENSMUSG00000020299
4930524J08Rik	MGI:1922379	ENSMUSG00000035364
4930535I16Rik	MGI:1922470	ENSMUSG00000096969
4930539E08Rik	MGI:1925441	ENSMUSG00000048905
4930544D05Rik	MGI:2148639	ENSMUSG00000087279
4930548H24Rik	MGI:1914906	ENSMUSG00000029138
4930550C14Rik	MGI:1922561	ENSMUSG00000005131
4930550L24Rik	MGI:1922602	ENSMUSG00000046180
4930555G01Rik	MGI:1922055	ENSMUSG00000096197
4930556J24Rik	MGI:1922592	ENSMUSG00000034493
4930558K02Rik	MGI:1922618	ENSMUSG00000086277
4930562C15Rik	MGI:1926059	ENSMUSG00000022518
4930563D23Rik	MGI:1922578	ENSMUSG00000051728
4930563M21Rik	MGI:1922508	ENSMUSG00000050702
4930578C19Rik	MGI:1923155	ENSMUSG00000037358
4930578G10Rik	MGI:1923202	ENSMUSG00000054885
4930579G24Rik	MGI:1923189	ENSMUSG00000027811
4930590J08Rik	MGI:2685917	ENSMUSG00000034063
4930595D18Rik	MGI:1925312	ENSMUSG00000083193
4931406B18Rik	MGI:1921304	ENSMUSG00000013353
4931406C07Rik	MGI:1918234	ENSMUSG00000031938
4931406P16Rik	MGI:1924311	ENSMUSG00000066571
4931409K22Rik	MGI:3045319	ENSMUSG00000038199
4931414P19Rik	MGI:1921609	ENSMUSG00000022179
4931422A03Rik	MGI:1918236	ENSMUSG00000046085
4931423N10Rik	MGI:1918231	ENSMUSG00000026774
4931428F04Rik	MGI:1921606	ENSMUSG00000014837
4931428L18Rik	MGI:1918238	ENSMUSG00000086727
4931429L15Rik	MGI:1921611	ENSMUSG00000056617
4931440F15Rik	MGI:2441689	ENSMUSG00000078157
4932414N04Rik	MGI:1922971	ENSMUSG00000079324
4932438A13Rik	MGI:2444631	ENSMUSG00000037270
4932438H23Rik	MGI:1921637	ENSMUSG00000039851
4932442E05Rik	MGI:1921665	ENSMUSG00000104443
4932443I19Rik	MGI:2685952	ENSMUSG00000090336
4933400A11Rik	MGI:1913997	ENSMUSG00000055357
4933402D24Rik	MGI:1921676	ENSMUSG00000025961
4933402E13Rik	MGI:1921687	ENSMUSG00000045330
4933402J07Rik	MGI:3607717	ENSMUSG00000069971
4933402N03Rik	MGI:1914681	ENSMUSG00000013668
4933403O08Rik	MGI:1918280	ENSMUSG00000079460
4933405L10Rik	MGI:1918296	ENSMUSG00000013158
4933405O20Rik	MGI:2142174	ENSMUSG00000084234
4933406M09Rik	MGI:3045320	ENSMUSG00000050526
4933407L21Rik	MGI:1918391	ENSMUSG00000026224
4933408B17Rik	MGI:3045347	ENSMUSG00000049357
4933411K16Rik	MGI:1914015	ENSMUSG00000090369
4933427D14Rik	MGI:1921727	ENSMUSG00000020807
4933427I04Rik	MGI:3613760	ENSMUSG00000073761
4933428G20Rik	MGI:1918475	ENSMUSG00000047988
4933428M09Rik	MGI:1918498	ENSMUSG00000042525
4933430I17Rik	MGI:3045314	ENSMUSG00000058046
4933434E20Rik	MGI:1914027	ENSMUSG00000027942
4933440N22Rik	MGI:1921721	ENSMUSG00000042087
5031439G07Rik	MGI:2444899	ENSMUSG00000036046
5330417C22Rik	MGI:1923930	ENSMUSG00000040412
5430403G16Rik	MGI:1924450	ENSMUSG00000072763
5430427O19Rik	MGI:1918648	ENSMUSG00000025058
5530401A14Rik	MGI:1918638	ENSMUSG00000020703
5730409E04Rik	MGI:3609248	ENSMUSG00000073755
5730455P16Rik	MGI:1917841	ENSMUSG00000057181
5730480H06Rik	MGI:1917842	ENSMUSG00000029089
5730507C01Rik	MGI:1917882	ENSMUSG00000073197
5730522E02Rik	MGI:1917876	ENSMUSG00000032985
5730559C18Rik	MGI:1921579	ENSMUSG00000041605
5730585A16Rik	MGI:1924346	ENSMUSG00000102297
5730596B20Rik	MGI:1924830	ENSMUSG00000056468
5830473C10Rik	MGI:1923342	ENSMUSG00000070690
6030419C18Rik	MGI:2442108	ENSMUSG00000066607
6030458C11Rik	MGI:1925127	ENSMUSG00000022195
6030468B19Rik	MGI:1924977	ENSMUSG00000025573
6030498E09Rik	MGI:1925133	ENSMUSG00000051361
6330409D20Rik	MGI:1917980	ENSMUSG00000009551
6430531B16Rik	MGI:2685939	ENSMUSG00000073795
6430548M08Rik	MGI:2443793	ENSMUSG00000031824
6430550D23Rik	MGI:2443361	ENSMUSG00000074646
6430571L13Rik	MGI:2445137	ENSMUSG00000037977
6430573F11Rik	MGI:2442328	ENSMUSG00000039620
6430628N08Rik	MGI:1923487	ENSMUSG00000034185
6720489N17Rik	MGI:2443901	ENSMUSG00000072066
6820408C15Rik	MGI:3045333	ENSMUSG00000032680
7420461P10Rik	MGI:3642786	ENSMUSG00000091060
7530416G11Rik	MGI:3036279	ENSMUSG00000096607
8030411F24Rik	MGI:1925859	ENSMUSG00000027444
8030423J24Rik	MGI:1924416	ENSMUSG00000021600
8030462N17Rik	MGI:2444951	ENSMUSG00000047466
8030474K03Rik	MGI:2685988	ENSMUSG00000046774
8430408G22Rik	MGI:1918730	ENSMUSG00000048489
9030624G23Rik	MGI:1914058	ENSMUSG00000073158
9030624J02Rik	MGI:1918767	ENSMUSG00000030982
9130008F23Rik	MGI:1918833	ENSMUSG00000054951
9130011E15Rik	MGI:1918867	ENSMUSG00000039901
9130019O22Rik	MGI:1926171	ENSMUSG00000030823
9130023H24Rik	MGI:2442738	ENSMUSG00000062944
9130230L23Rik	MGI:3041166	ENSMUSG00000054598
9130401M01Rik	MGI:1923008	ENSMUSG00000101892
9130409I23Rik	MGI:3588271	ENSMUSG00000038768
9230102O04Rik	MGI:1924932	ENSMUSG00000079602
9230104M06Rik	MGI:3642845	ENSMUSG00000097100
9230110C19Rik	MGI:3045346	ENSMUSG00000053070
9330159F19Rik	MGI:3036239	ENSMUSG00000004360
9330182L06Rik	MGI:2443264	ENSMUSG00000056004
9430015G10Rik	MGI:2444364	ENSMUSG00000059939
9430038I01Rik	MGI:1924502	ENSMUSG00000040139
9430069I07Rik	MGI:1924608	ENSMUSG00000094447
9530003J23Rik	MGI:1924647	ENSMUSG00000020177
9530053A07Rik	MGI:2442118	ENSMUSG00000078776
9530068E07Rik	MGI:2654705	ENSMUSG00000036275
9530077C05Rik	MGI:1915533	ENSMUSG00000036411
9630041A04Rik	MGI:3045242	ENSMUSG00000057710
9930012K11Rik	MGI:2145726	ENSMUSG00000044551
9930021J03Rik	MGI:2444398	ENSMUSG00000046138
9930022D16Rik	MGI:2444178	ENSMUSG00000045065
9930111J21Rik1	MGI:3041173	ENSMUSG00000069893
9930111J21Rik2	MGI:3711310	ENSMUSG00000069892
a	MGI:87853	ENSMUSG00000027596
A130010J15Rik	MGI:2441776	ENSMUSG00000079144
A1cf	MGI:1917115	ENSMUSG00000052595
A230050P20Rik	MGI:2441788	ENSMUSG00000038884
A2m	MGI:2449119	ENSMUSG00000030111
A2ml1	MGI:3039594	ENSMUSG00000047228
A3galt2	MGI:2685279	ENSMUSG00000028794
A430005L14Rik	MGI:2140680	ENSMUSG00000047613
A430033K04Rik	MGI:3583896	ENSMUSG00000056014
A430078G23Rik	MGI:2442135	ENSMUSG00000074497
A430105I19Rik	MGI:2685199	ENSMUSG00000045838
A4galt	MGI:3512453	ENSMUSG00000047878
A530016L24Rik	MGI:2443020	ENSMUSG00000043122
A530032D15Rik	MGI:3037746	ENSMUSG00000089844
A530064D06Rik	MGI:2443476	ENSMUSG00000043939
A530084C06Rik	MGI:3704402	ENSMUSG00000090863
A630001G21Rik	MGI:2443131	ENSMUSG00000052760
A630010A05Rik	MGI:3584518	ENSMUSG00000075395
A630076J17Rik	MGI:2442999	ENSMUSG00000094613
A630095N17Rik	MGI:2686470	ENSMUSG00000096094
A730017C20Rik	MGI:2442934	ENSMUSG00000050875
A730049H05Rik	MGI:1921766	ENSMUSG00000048636
A730061H03Rik	MGI:2445099	ENSMUSG00000053588
A730071L15Rik	MGI:3642498	ENSMUSG00000096923
A830005F24Rik	MGI:3045249	ENSMUSG00000053181
A830018L16Rik	MGI:2444149	ENSMUSG00000057715
A830031A19Rik	MGI:2685508	ENSMUSG00000055010
A930004D18Rik	MGI:1925190	ENSMUSG00000054057
A930009A15Rik	MGI:1925048	ENSMUSG00000092210
A930017K11Rik	MGI:2442713	ENSMUSG00000025727
A930018P22Rik	MGI:1915493	ENSMUSG00000032671
A930033H14Rik	MGI:2444562	ENSMUSG00000090622
AA467197	MGI:3034182	ENSMUSG00000033213
AA986860	MGI:2138143	ENSMUSG00000042510
Aaas	MGI:2443767	ENSMUSG00000036678
Aacs	MGI:1926144	ENSMUSG00000029482
Aadac	MGI:1915008	ENSMUSG00000027761
Aadat	MGI:1345167	ENSMUSG00000057228
Aaed1	MGI:1913379	ENSMUSG00000021482
Aagab	MGI:1914189	ENSMUSG00000037257
Aak1	MGI:1098687	ENSMUSG00000057230
Aamdc	MGI:1913523	ENSMUSG00000035642
Aamp	MGI:107809	ENSMUSG00000006299
Aanat	MGI:1328365	ENSMUSG00000020804
Aar2	MGI:1915545	ENSMUSG00000027628
Aard	MGI:2181621	ENSMUSG00000068522
Aars	MGI:2384560	ENSMUSG00000031960
Aars2	MGI:2681839	ENSMUSG00000023938
Aarsd1	MGI:1916934	ENSMUSG00000075528
Aasdh	MGI:2442517	ENSMUSG00000055923
Aasdhppt	MGI:1914868	ENSMUSG00000025894
Aass	MGI:1353573	ENSMUSG00000029695
Aatf	MGI:1929608	ENSMUSG00000018697
Aatk	MGI:1197518	ENSMUSG00000025375
AB124611	MGI:3043001	ENSMUSG00000057191
Abat	MGI:2443582	ENSMUSG00000057880
Abca1	MGI:99607	ENSMUSG00000015243
Abca12	MGI:2676312	ENSMUSG00000050296
Abca13	MGI:2388707	ENSMUSG00000004668
Abca14	MGI:2388708	ENSMUSG00000062017
Abca17	MGI:3625331	ENSMUSG00000035435
Abca2	MGI:99606	ENSMUSG00000026944
Abca3	MGI:1351617	ENSMUSG00000024130
Abca4	MGI:109424	ENSMUSG00000028125
Abca5	MGI:2386607	ENSMUSG00000018800
Abca6	MGI:1923434	ENSMUSG00000044749
Abca7	MGI:1351646	ENSMUSG00000035722
Abca8b	MGI:1351668	ENSMUSG00000020620
Abca9	MGI:2386796	ENSMUSG00000041797
Abcb10	MGI:1860508	ENSMUSG00000031974
Abcb11	MGI:1351619	ENSMUSG00000027048
Abcb1a	MGI:97570	ENSMUSG00000040584
Abcb1b	MGI:97568	ENSMUSG00000028970
Abcb4	MGI:97569	ENSMUSG00000042476
Abcb5	MGI:1924956	ENSMUSG00000072791
Abcb6	MGI:1921354	ENSMUSG00000026198
Abcb7	MGI:109533	ENSMUSG00000031333
Abcb8	MGI:1351667	ENSMUSG00000028973
Abcb9	MGI:1861729	ENSMUSG00000029408
Abcc1	MGI:102676	ENSMUSG00000023088
Abcc10	MGI:2386976	ENSMUSG00000032842
Abcc12	MGI:2441679	ENSMUSG00000036872
Abcc2	MGI:1352447	ENSMUSG00000025194
Abcc3	MGI:1923658	ENSMUSG00000020865
Abcc4	MGI:2443111	ENSMUSG00000032849
Abcc5	MGI:1351644	ENSMUSG00000022822
Abcc6	MGI:1351634	ENSMUSG00000030834
Abcc8	MGI:1352629	ENSMUSG00000040136
Abcc9	MGI:1352630	ENSMUSG00000030249
Abcd1	MGI:1349215	ENSMUSG00000031378
Abcd2	MGI:1349467	ENSMUSG00000055782
Abcd3	MGI:1349216	ENSMUSG00000028127
Abcd4	MGI:1349217	ENSMUSG00000021240
Abce1	MGI:1195458	ENSMUSG00000058355
Abcf1	MGI:1351658	ENSMUSG00000038762
Abcf2	MGI:1351657	ENSMUSG00000028953
Abcf3	MGI:1351656	ENSMUSG00000003234
Abcg1	MGI:107704	ENSMUSG00000024030
Abcg2	MGI:1347061	ENSMUSG00000029802
Abcg3	MGI:1351624	ENSMUSG00000029299
Abcg4	MGI:1890594	ENSMUSG00000032131
Abcg5	MGI:1351659	ENSMUSG00000040505
Abcg8	MGI:1914720	ENSMUSG00000024254
Abhd1	MGI:1931013	ENSMUSG00000006638
Abhd10	MGI:2442422	ENSMUSG00000033157
Abhd11	MGI:1916008	ENSMUSG00000040532
Abhd12	MGI:1923442	ENSMUSG00000032046
Abhd12b	MGI:2685650	ENSMUSG00000090121
Abhd13	MGI:1916154	ENSMUSG00000040396
Abhd14a	MGI:1915894	ENSMUSG00000042210
Abhd14b	MGI:1923741	ENSMUSG00000042073
Abhd15	MGI:1914727	ENSMUSG00000000686
Abhd16a	MGI:99476	ENSMUSG00000007036
Abhd16b	MGI:3607711	ENSMUSG00000055882
Abhd17a	MGI:106388	ENSMUSG00000003346
Abhd17b	MGI:1917816	ENSMUSG00000047368
Abhd17c	MGI:1917428	ENSMUSG00000038459
Abhd18	MGI:1915468	ENSMUSG00000037818
Abhd2	MGI:1914344	ENSMUSG00000039202
Abhd3	MGI:2147183	ENSMUSG00000002475
Abhd4	MGI:1915938	ENSMUSG00000040997
Abhd5	MGI:1914719	ENSMUSG00000032540
Abhd6	MGI:1913332	ENSMUSG00000025277
Abhd8	MGI:1918946	ENSMUSG00000007950
Abi1	MGI:104913	ENSMUSG00000058835
Abi2	MGI:106913	ENSMUSG00000026782
Abi3	MGI:1913860	ENSMUSG00000018381
Abi3bp	MGI:2444583	ENSMUSG00000035258
Abl1	MGI:87859	ENSMUSG00000026842
Abl2	MGI:87860	ENSMUSG00000026596
Ablim1	MGI:1194500	ENSMUSG00000025085
